cluster	status	loglr	df	p	p.adjust	genes	annotations
chr10:clu_121_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000012779.12	PR,UP
chr10:clu_122_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000012779.12	PR
chr10:clu_123_+	Success	7.183746337890625	2.0	0.0007588197154074269	0.00276474313700619	ENSG00000172661.20	PR
chr10:clu_124_+	Success	0.236541748046875	1.0	0.4915720259279609	0.6040137210082569	ENSG00000172661.20	PR
chr10:clu_125_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000172661.20	PR
chr10:clu_126_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000172661.20	PR
chr10:clu_127_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000204179.11	PR
chr10:clu_128_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000204179.11	PR,UP
chr10:clu_129_+	Success	7.8023681640625	4.0	0.0035981071292547073	0.010376790106238504	ENSG00000107643.17	PR
chr10:clu_12_+	Success	2.57672119140625	1.0	0.023200335651091822	0.052263121708642335	ENSG00000067057.19	PR,UP
chr10:clu_130_+	Success	16.2825927734375	1.0	1.1526101738857897e-08	1.0061326309544705e-07	ENSG00000107643.17	PR
chr10:clu_131_+	Success	12.637603759765625	1.0	4.970568768597393e-07	3.856793174152422e-06	ENSG00000107643.17	PR
chr10:clu_132_+	Success	4.26007080078125	1.0	0.0035123715891326427	0.010220025665601231	ENSG00000107643.17	PR
chr10:clu_133_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000128815.20	PR,UP
chr10:clu_134_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000128815.20	PR
chr10:clu_135_+	Success	2.0181884765625	4.0	0.40110514969790023	0.507743376807916	ENSG00000178440.9,ENSG00000204152.14	PR,UP
chr10:clu_136_+	Success	0.77691650390625	1.0	0.21257047600595483	0.3238801070781639	ENSG00000178440.9,ENSG00000204152.14	PR,UP
chr10:clu_137_+	Success	2.874176025390625	2.0	0.05646264412697065	0.10952707356111437	ENSG00000099290.17	PR
chr10:clu_138_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000099290.17	PR
chr10:clu_139_+	Success	20.872344970703125	2.0	8.615009383957947e-10	9.02422232969595e-09	ENSG00000099290.17	PR
chr10:clu_13_+	Success	0.86004638671875	1.0	0.1896811034220293	0.2979912625473093	ENSG00000067057.19	PR
chr10:clu_140_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000204147.11	PR
chr10:clu_141_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000204147.11	NE,PR
chr10:clu_142_+	Success	0.24114990234375	2.0	0.7857238357155031	0.8335532108296431	ENSG00000122873.12	PR,UP
chr10:clu_143_+	Success	6.83245849609375	2.0	0.0010782040959310367	0.0035572245369693257	ENSG00000122873.12	PR,UP
chr10:clu_144_+	Success	1.56024169921875	2.0	0.21008528761394818	0.32226338797611215	ENSG00000072401.15	PR
chr10:clu_145_+	Success	0.951080322265625	1.0	0.16783667344741532	0.26889098559531305	ENSG00000108064.11	PR,UP
chr10:clu_146_+	Success	0.580322265625	2.0	0.559717959639401	0.6592920840560834	ENSG00000108064.11	PR
chr10:clu_147_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000165443.12	NE,PR,UP
chr10:clu_148_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000170312.17	PR
chr10:clu_149_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000170312.17	PR
chr10:clu_14_+	Success	10.649444580078125	2.0	2.371400917376908e-05	0.0001232603159545011	ENSG00000278419.1,ENSG00000067057.19	PR,UP
chr10:clu_150_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000170312.17	PR,UP
chr10:clu_151_+	<=1 junction in cluster	NA	NA	NA	NA	ENSG00000183346.9	PR
chr10:clu_152_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000150347.17	PR
chr10:clu_153_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000285837.1,ENSG00000138311.18	NE,PR
chr10:clu_154_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000285837.1,ENSG00000138311.18	PR
chr10:clu_155_+	Success	1.7313232421875	2.0	0.1770499749008138	0.2809997707706098	ENSG00000148572.16	PR
chr10:clu_156_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000165476.14	PR,UP
chr10:clu_157_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000096717.12	PR
chr10:clu_158_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000096717.12	PR
chr10:clu_159_+	Success	6.442138671875	1.0	0.00033135406438908896	0.0013715555681970098	ENSG00000096746.18	NE,PR
chr10:clu_15_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000165568.18	PR
chr10:clu_160_+	Success	3.30712890625	2.0	0.036621165760804	0.07672134226888438	ENSG00000096746.18	PR,UP
chr10:clu_161_+	Success	20.74951171875	1.0	1.1792982353872656e-10	1.372572112853512e-09	ENSG00000096746.18	PR
chr10:clu_162_+	Success	0.6195068359375	3.0	0.7436632243756858	0.8046657860820206	ENSG00000060339.14	PR
chr10:clu_163_+	Success	1.2392578125	4.0	0.648486991210161	0.7343677008569119	ENSG00000060339.14	NE,PR
chr10:clu_164_+	Success	3.9621429443359375	1.0	0.004877559240684063	0.013656054486836489	ENSG00000060339.14	PR,UP
chr10:clu_165_+	Success	3.1610107421875	2.0	0.04238288125792958	0.08537705407246392	ENSG00000060339.14	PR,UP
chr10:clu_166_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000165730.16	PR
chr10:clu_167_+	Success	2.8428955078125	3.0	0.12793904028476857	0.21357154533592843	ENSG00000107625.14	PR,UP
chr10:clu_168_+	Success	0.2122802734375	2.0	0.8087379980203113	0.8486585777648785	ENSG00000107625.14	PR
chr10:clu_169_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000165732.14	PR
chr10:clu_16_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000196139.14	NE,PR
chr10:clu_170_+	Success	0.8592376708984375	1.0	0.18988942028671021	0.2979912625473093	ENSG00000198954.9	PR
chr10:clu_171_+	Success	9.366119384765625	2.0	8.557482789022699e-05	0.00040287475152814723	ENSG00000198954.9	PR,UP
chr10:clu_172_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000198954.9	PR
chr10:clu_173_+	Success	0.44140625	2.0	0.6431313813711867	0.7322610021590413	ENSG00000122862.5	PR,UP
chr10:clu_174_+	Success	10.9339599609375	2.0	1.7841917365596072e-05	0.00010102382940790208	ENSG00000122958.15	PR,UP
chr10:clu_175_+	Success	0.6204833984375	2.0	0.5376844589357808	0.6455294793526996	ENSG00000122958.15	PR
chr10:clu_176_+	Success	2.931732177734375	2.0	0.05330462504570371	0.104857454902112	ENSG00000156502.14	PR,UP
chr10:clu_177_+	<=1 junction in cluster	NA	NA	NA	NA	ENSG00000156502.14	PR
chr10:clu_178_+	Success	0.39794158935546875	1.0	0.37232708878453535	0.4806247038296792	ENSG00000156515.25	NE,PR
chr10:clu_179_+	Success	1.9599609375	2.0	0.14086392331058004	0.23145876026326678	ENSG00000156515.25	PR
chr10:clu_17_+	Success	18.691802978515625	2.0	7.625232840076974e-09	6.797813957430323e-08	ENSG00000173848.19	PR
chr10:clu_180_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000099282.10	PR,UP
chr10:clu_181_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000171224.9	PR
chr10:clu_182_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000166224.18	PR
chr10:clu_183_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000289738.1,ENSG00000166224.18	NE,PR
chr10:clu_184_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000107731.12	PR
chr10:clu_185_+	Success	27.736328125	7.0	1.2016110407841714e-09	1.227987868508702e-08	ENSG00000166295.9	NE,PR
chr10:clu_186_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000156026.15	NE
chr10:clu_187_+	<=1 junction in cluster	NA	NA	NA	NA	ENSG00000166321.14	PR
chr10:clu_188_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000166321.14	PR
chr10:clu_189_+	Success	0.67767333984375	1.0	0.24434557348489697	0.3567275097218531	ENSG00000138286.15	PR
chr10:clu_18_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000108021.22	NE,PR
chr10:clu_190_+	Success	3.334125518798828	1.0	0.009814545467571113	0.02477285874043552	ENSG00000138286.15	PR,UP
chr10:clu_191_+	Success	0.60400390625	2.0	0.5466186389613688	0.6525162670222606	ENSG00000138286.15	PR
chr10:clu_192_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000227540.1	IN
chr10:clu_193_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000221817.12	IN
chr10:clu_194_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000221817.12	IN
chr10:clu_195_+	Success	11.11279296875	2.0	1.492022371870207e-05	8.563799641282422e-05	ENSG00000176986.16	PR
chr10:clu_196_+	Success	5.5521240234375	3.0	0.011175318318948217	0.02706623338519828	ENSG00000176986.16	PR,UP
chr10:clu_197_+	Success	35.89434814453125	2.0	2.5779985533724217e-16	7.201209292420298e-15	ENSG00000176986.16	PR
chr10:clu_198_+	Success	0.279693603515625	1.0	0.4545072515624584	0.5650995204886352	ENSG00000176986.16	PR,UP
chr10:clu_199_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000196968.11	PR,UP
chr10:clu_19_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000108021.22	PR
chr10:clu_1_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000015171.21	PR
chr10:clu_200_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000196968.11	PR,UP
chr10:clu_201_+	Success	3.6165313720703125	1.0	0.007157299955849383	0.018980434693043616	ENSG00000214655.11	PR
chr10:clu_202_+	Success	4.03607177734375	1.0	0.004495090991971144	0.012725967065107497	ENSG00000214655.11	PR
chr10:clu_203_+	Success	6.195068359375	2.0	0.002039463778458324	0.006147736137942717	ENSG00000214655.11	PR,UP
chr10:clu_204_+	Success	0.549896240234375	1.0	0.29431165067308196	0.4069854179274632	ENSG00000214655.11	PR,UP
chr10:clu_205_+	Success	0.0511474609375	1.0	0.7490928276978915	0.8062167610572584	ENSG00000214655.11	PR
chr10:clu_206_+	Success	10.499786376953125	1.0	4.593858030348809e-06	2.9164038101759863e-05	ENSG00000214655.11	PR
chr10:clu_207_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000035403.18	PR,UP
chr10:clu_208_+	Success	11.18072509765625	2.0	1.3940321390065313e-05	8.112492586718564e-05	ENSG00000156110.15	PR
chr10:clu_209_+	Success	0.6421279907226562	1.0	0.25710920478481464	0.37020191341868497	ENSG00000156110.15	PR,UP
chr10:clu_20_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000108021.22	PR
chr10:clu_210_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000156650.14	PR
chr10:clu_211_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000156671.15	PR
chr10:clu_212_+	Success	0.9873809814453125	2.0	0.37255113275381435	0.4806247038296792	ENSG00000165637.14	PR
chr10:clu_213_+	Success	6.715087890625	2.0	0.0012124794416640467	0.0038487036822517848	ENSG00000165637.14	PR,UP
chr10:clu_214_+	Success	3.3653564453125	1.0	0.009476671763482363	0.02406500284181279	ENSG00000138326.21	PR,UP
chr10:clu_215_+	Success	133.390625	9.0	2.837531917035738e-52	1.1889258732379741e-49	ENSG00000138326.21	PR,UP
chr10:clu_216_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000282863.1,ENSG00000230417.12	IN
chr10:clu_217_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000108175.19	PR,UP
chr10:clu_218_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000108175.19	PR
chr10:clu_219_+	Success	6.25445556640625	1.0	0.00040501558216608736	0.0015859955974541178	ENSG00000108179.14	PR
chr10:clu_21_+	Success	6.72857666015625	5.0	0.019451377691662858	0.04502832736357314	ENSG00000134452.20	NE,PR
chr10:clu_220_+	Success	27.402923583984375	4.0	3.56799752808792e-11	4.67184676334012e-10	ENSG00000133678.14	PR,UP
chr10:clu_221_+	Success	1.54302978515625	4.0	0.5435282552567975	0.6506809684359947	ENSG00000133678.14	NE,PR
chr10:clu_222_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000133665.13	PR
chr10:clu_223_+	Success	7.099853515625	2.0	0.0008252257970977457	0.002955295803281671	ENSG00000122378.14	PR
chr10:clu_224_+	Success	1.019378662109375	2.0	0.36081906109277484	0.47121421381783896	ENSG00000108219.16	PR
chr10:clu_225_+	Success	1.1966552734375	3.0	0.4948810770811679	0.6063016704590917	ENSG00000108219.16	PR
chr10:clu_226_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000185737.13	PR
chr10:clu_227_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000148600.15	PR
chr10:clu_228_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000148600.15	PR
chr10:clu_229_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000148604.15	NE,PR
chr10:clu_22_+	Success	9.65960693359375	2.0	6.380959841240777e-05	0.00031088629924184714	ENSG00000134452.20	PR
chr10:clu_230_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000148604.15	PR
chr10:clu_231_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000148604.15	PR
chr10:clu_232_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000107771.17	PR
chr10:clu_233_+	Success	0.4921875	1.0	0.3211210707623608	0.42850232053958337	ENSG00000107771.17	NE,PR
chr10:clu_234_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000107771.17	PR,UP
chr10:clu_235_+	Success	54.79583740234375	4.0	8.893485163575593e-23	6.210617139230289e-21	ENSG00000107771.17	NE,PR,UP
chr10:clu_236_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000289258.1,ENSG00000122367.21	PR
chr10:clu_237_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000289258.1,ENSG00000122367.21	PR
chr10:clu_238_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000289258.1,ENSG00000122367.21	PR
chr10:clu_239_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000107779.14	PR
chr10:clu_23_+	Success	0.5266036987304688	1.0	0.30476954917936394	0.4173151670135735	ENSG00000134452.20	PR,UP
chr10:clu_240_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000173267.14	PR
chr10:clu_241_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000148671.14	PR
chr10:clu_242_+	<=1 junction in cluster	NA	NA	NA	NA	ENSG00000122376.12	PR
chr10:clu_243_+	Success	3.8760986328125	2.0	0.02073154899770562	0.04772812653867392	ENSG00000122376.12	PR
chr10:clu_244_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000107789.16	PR
chr10:clu_245_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000198682.13	PR
chr10:clu_246_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000290782.1	IN
chr10:clu_247_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000171862.14	PR,UP
chr10:clu_248_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000138134.12	PR
chr10:clu_249_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000026103.25	PR
chr10:clu_24_+	Success	0.14894866943359375	1.0	0.5852036129270805	0.6830428796524058	ENSG00000134453.16	PR
chr10:clu_250_+	Success	1.00341796875	3.0	0.5709890930780317	0.6701524649851409	ENSG00000026103.25	PR
chr10:clu_251_+	Success	7.01025390625	6.0	0.02940791729968615	0.06417665285712758	ENSG00000026103.25	NE,PR
chr10:clu_252_+	Success	10.018310546875	1.0	7.597319243630255e-06	4.4834883987057414e-05	ENSG00000119917.15	PR
chr10:clu_253_+	Success	0.0159759521484375	1.0	0.8581332563127086	0.8771321087977031	ENSG00000185745.10	PR
chr10:clu_254_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000138182.15	PR
chr10:clu_255_+	<=1 junction in cluster	NA	NA	NA	NA	ENSG00000148688.14	PR
chr10:clu_256_+	Success	10.628662109375	4.0	0.0002815531868585328	0.0012417977399339498	ENSG00000148688.14	PR,UP
chr10:clu_257_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000148688.14	NE
chr10:clu_258_+	Success	5.534088134765625	1.0	0.0008782201847515536	0.003041156884256438	ENSG00000180628.15	PR
chr10:clu_259_+	Success	1.1925048828125	1.0	0.12250412688571492	0.2076367387575479	ENSG00000180628.15	PR,UP
chr10:clu_25_+	Success	5.504241943359375	1.0	0.000906958003986854	0.003075231298063544	ENSG00000134453.16	PR,UP
chr10:clu_260_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000095564.15	PR,UP
chr10:clu_261_+	Success	0.8794631958007812	1.0	0.18475848431326933	0.2921275657632447	ENSG00000198060.10	PR,UP
chr10:clu_262_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000138190.17	PR
chr10:clu_263_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000138190.17	NE,PR,UP
chr10:clu_264_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000108231.14	PR
chr10:clu_265_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000108231.14	NE,PR
chr10:clu_266_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000108231.14	NE,PR
chr10:clu_267_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000108231.14	NE,PR
chr10:clu_268_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000176273.15	NE,PR,UP
chr10:clu_269_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000176273.15	NE
chr10:clu_26_+	Success	1.336669921875	1.0	0.10204168556663074	0.18116722988312828	ENSG00000170525.21	PR
chr10:clu_270_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000138193.17	NE,PR
chr10:clu_271_+	Success	0.0218505859375	1.0	0.8344105706204173	0.8653911611137497	ENSG00000108239.9	PR,UP
chr10:clu_272_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000119969.16	PR
chr10:clu_273_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000119969.16	PR,UP
chr10:clu_274_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000119969.16	PR
chr10:clu_275_+	Success	21.954345703125	4.0	6.7021435472746985e-09	6.104778578930649e-08	ENSG00000138185.20	NE,PR
chr10:clu_276_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000138185.20	NE,PR,UP
chr10:clu_277_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000138185.20	PR,UP
chr10:clu_278_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000270099.1,ENSG00000138185.20	PR,UP
chr10:clu_279_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000107443.16	PR
chr10:clu_27_+	Success	0.0716552734375	1.0	0.705011811880092	0.7865797846467365	ENSG00000170525.21	PR
chr10:clu_280_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000177853.15	NE,PR
chr10:clu_281_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000177853.15	PR
chr10:clu_282_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000177853.15	NE,PR
chr10:clu_283_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000196233.14	PR
chr10:clu_284_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000196233.14	NE,PR
chr10:clu_285_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000196233.14	PR
chr10:clu_286_+	Success	0.3314361572265625	2.0	0.7178919869692152	0.7931389649034265	ENSG00000171314.9	PR,UP
chr10:clu_287_+	Success	0.4665374755859375	2.0	0.6271701048230849	0.7254709679417366	ENSG00000171307.19	NE,PR
chr10:clu_288_+	Success	3.67401123046875	2.0	0.0253744826382419	0.0568551242001249	ENSG00000171307.19	PR
chr10:clu_289_+	Success	7.8653564453125	2.0	0.0003838124848632627	0.0015171455769595007	ENSG00000171307.19	PR,UP
chr10:clu_28_+	Success	72.646728515625	7.0	3.9480705095638254e-28	4.135603858768107e-26	ENSG00000170525.21	NE,PR,UP
chr10:clu_290_+	Success	6.793914794921875	1.0	0.00022765669531790657	0.0010256790896580952	ENSG00000171307.19	PR
chr10:clu_291_+	Success	8.101318359375	2.0	0.0003031392280809712	0.001296074862917622	ENSG00000171307.19	PR
chr10:clu_292_+	Success	2.594635009765625	2.0	0.07467312606292645	0.13905795475718302	ENSG00000171307.19	PR
chr10:clu_293_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000249967.1,ENSG00000241935.9	PR
chr10:clu_294_+	Success	3.60296630859375	3.0	0.06561574894532586	0.12553880734288372	ENSG00000155256.18	PR
chr10:clu_295_+	Success	0.7269287109375	2.0	0.4833913471088025	0.595708748348789	ENSG00000155256.18	PR
chr10:clu_296_+	Success	1.19000244140625	1.0	0.12289716279683027	0.2076367387575479	ENSG00000155256.18	PR
chr10:clu_297_+	Success	38.312255859375	2.0	2.2971993832381144e-17	7.404050319821308e-16	ENSG00000155256.18	PR
chr10:clu_298_+	Success	1.9588470458984375	1.0	0.04778037493488769	0.09488140804605659	ENSG00000155256.18	PR,UP
chr10:clu_299_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000166024.14	PR
chr10:clu_29_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000237943.8	IN
chr10:clu_2_+	Success	4.354766845703125	2.0	0.012845434203240566	0.03075563960661598	ENSG00000015171.21	NE,PR
chr10:clu_300_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000166024.14	PR
chr10:clu_301_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000166024.14	PR
chr10:clu_302_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000119946.12	PR
chr10:clu_303_+	Success	0.30767822265625	1.0	0.4327781124935246	0.5445466340383988	ENSG00000119929.13	PR
chr10:clu_304_+	Success	1.4681396484375	2.0	0.23035362554466193	0.34348102883705817	ENSG00000119929.13	PR,UP
chr10:clu_305_+	Success	-0.0008697509765625	1.0	1.0	1.0	ENSG00000166135.14	NE,PR
chr10:clu_306_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000095539.16	PR
chr10:clu_307_+	<=1 junction in cluster	NA	NA	NA	NA	ENSG00000095539.16	NE
chr10:clu_308_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000107815.10	PR
chr10:clu_309_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000107815.10	PR
chr10:clu_30_+	Success	1.4736328125	3.0	0.3998274465239363	0.5076596972531192	ENSG00000165629.20	PR,UP
chr10:clu_310_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000107816.17	PR
chr10:clu_311_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000107819.15	PR,UP
chr10:clu_312_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000166167.18	PR
chr10:clu_313_+	Success	4.026214599609375	2.0	0.017841740416510203	0.04176362700847919	ENSG00000166167.18	PR,UP
chr10:clu_314_+	Success	3.9600601196289062	1.0	0.0048888023222564995	0.013656054486836489	ENSG00000166171.13	NE,PR
chr10:clu_315_+	Success	5.653038024902344	1.0	0.0007725386365303775	0.002790462833674381	ENSG00000166171.13	PR,UP
chr10:clu_316_+	Success	9.673583984375	6.0	0.0036157788914339415	0.010376790106238504	ENSG00000166171.13	NE,PR,UP
chr10:clu_317_+	Success	28.077880859375	2.0	6.396336147900352e-13	1.0307941715270184e-11	ENSG00000148840.11	PR
chr10:clu_318_+	Success	9.404296875	3.0	0.00029947712682811976	0.001296074862917622	ENSG00000166197.17	PR,UP
chr10:clu_319_+	Success	1.6136474609375	1.0	0.072420221645016	0.13668501292460228	ENSG00000166197.17	PR
chr10:clu_31_+	Success	6.6181640625	2.0	0.0013358812901415012	0.004177121347532007	ENSG00000165629.20	PR
chr10:clu_320_+	Success	6.307373046875	1.0	0.0003827155204491356	0.0015171455769595007	ENSG00000166197.17	PR
chr10:clu_321_+	Success	1.84423828125	2.0	0.15814573759555325	0.2548579386636031	ENSG00000166197.17	PR
chr10:clu_322_+	Success	0.57952880859375	2.0	0.5601622480285577	0.6592920840560834	ENSG00000107862.7	PR,UP
chr10:clu_323_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000077150.21	PR
