intron	logef_Brain-FrontalCortex_BA9	psi_Cells-EBV-transformedlymphocytes	psi_Brain-FrontalCortex_BA9	deltapsi_Brain-FrontalCortex_BA9
chr10:12210322:12215739:clu_45_+:PR	0.3019641	0.5002326	0.48135617	-0.018876404
chr10:12210322:12217360:clu_45_+:PR	-0.6857368	0.004754649	0.0017039627	-0.0030506863
chr10:12215835:12217360:clu_45_+:PR	0.38377282	0.4950127	0.5169398	0.021927118
chr10:12235123:12237143:clu_46_+:PR	-0.039755438	0.46368176	0.4184323	-0.045249462
chr10:12235123:12238456:clu_46_+:PR	-0.105597995	0.003443329	0.0029093008	-0.00053402805
chr10:12237266:12238456:clu_46_+:PR	0.14535344	0.532875	0.5786584	0.0457834
chr10:12238485:12246148:clu_47_+:PR	0.5587509	0.31091082	0.3049056	-0.0060052276
chr10:12238485:12249580:clu_47_+:PR	-0.31377158	0.0038013102	0.0015578697	-0.0022434406
chr10:12246277:12249580:clu_47_+:PR	0.53210086	0.45087346	0.43053678	-0.020336688
chr10:12246277:12250310:clu_47_+:PR	-1.4772856	0.0018148422	0.00023234272	-0.0015824995
chr10:12249718:12250310:clu_47_+:PR	0.7002058	0.23259959	0.26276743	0.030167848
chr10:13099958:13108137:clu_48_+:PR	5.7637234	4.500419e-05	0.015346023	0.015301019
chr10:13100302:13108137:clu_48_+:PR	-0.61171985	0.1511099	0.087743714	-0.06336619
chr10:13100302:13109111:clu_48_+:PR	0.35008976	0.48707694	0.7399957	0.25291878
chr10:13108289:13108961:clu_48_+:PR	-1.6462637	0.12451995	0.025695989	-0.098823965
chr10:13108289:13109111:clu_48_+:PR	-0.15489393	0.12450227	0.11415562	-0.010346651
chr10:13109015:13109096:clu_48_+:PR	-1.6521764	0.022421999	0.0045997356	-0.017822264
chr10:13109015:13109111:clu_48_+:PR	-2.0487585	0.09032398	0.012463156	-0.07786082
chr10:13109288:13110179:clu_49_+:UP	1.2028048	0.009020678	0.028452735	0.019432057
chr10:13109288:13110273:clu_49_+:PR	-0.019352399	0.5312577	0.49364415	-0.03761354
chr10:13109288:13112452:clu_49_+:UP	-1.2891874	0.0078147575	0.0020395855	-0.0057751723
chr10:13110476:13112452:clu_49_+:PR	0.105735	0.45190686	0.47586358	0.023956716
chr10:13116340:13118887:clu_50_+:PR	-0.020248724	0.8177828	0.81167024	-0.0061125755
chr10:13116340:13118905:clu_50_+:PR	0.020248722	0.1822172	0.18832971	0.006112516
chr10:13122487:13122863:clu_51_+:PR	-0.08603316	0.025709858	0.021734059	-0.0039757993
chr10:13122487:13123994:clu_51_+:PR	0.08603315	0.9742902	0.97826594	0.003975749
chr10:13587152:13591767:clu_53_+:PR	-0.28815776	0.093054295	0.038849395	-0.0542049
chr10:13587152:13597457:clu_53_+:PR	0.7147548	0.8151524	0.92778224	0.11262983
chr10:13591888:13597457:clu_53_+:PR	-0.42659715	0.09179326	0.03336838	-0.058424883
chr10:13597535:13597644:clu_54_+:PR	4.3044596	2.3781695e-06	0.32382974	0.32382736
chr10:13597535:13600243:clu_54_+:PR	-8.635989	0.9999952	0.326668	-0.6733272
chr10:13597671:13600243:clu_54_+:PR	4.331531	2.4981525e-06	0.34950233	0.34949982
chr10:14840157:14842133:clu_56_+:PR	0.5205163	0.16138375	0.17250457	0.011120826
chr10:14840157:14843370:clu_56_+:UP	-1.6017183	0.03833985	0.0049081347	-0.033431716
chr10:14840157:14848608:clu_56_+:PR	0.35574928	0.5607913	0.50837564	-0.05241567
chr10:14842846:14843370:clu_56_+:PR	0.7254531	0.23948513	0.3142116	0.07472648
chr10:15097409:15102217:clu_61_+:PR	0.5839451	0.15375425	0.2285087	0.07475445
chr10:15097409:15103304:clu_61_+:PR	0.3536276	0.17417853	0.20561016	0.03143163
chr10:15097766:15102217:clu_61_+:PR	-0.48056525	0.17917773	0.09184355	-0.08733418
chr10:15097766:15103304:clu_61_+:PR	-0.7866731	0.12130354	0.04578225	-0.07552129
chr10:15102336:15103304:clu_61_+:PR	0.32966584	0.37158594	0.42825538	0.056669444
chr10:17660548:17672974:clu_64_+:NE	-0.09632501	0.02625703	0.042973485	0.016716454
chr10:17660548:17684674:clu_64_+:PR	-0.6465148	0.96047515	0.90676904	-0.05370611
chr10:17673078:17684674:clu_64_+:NE	0.7428399	0.01326786	0.050257456	0.036989596
chr10:21538912:21556642:clu_71_+:PR	0.8428914	0.23252642	0.48551902	0.2529926
chr10:21538912:21557620:clu_71_+:NE	-0.15251651	0.06996521	0.053990323	-0.01597489
chr10:21538912:21586293:clu_71_+:PR	-0.39215645	0.30770248	0.18684883	-0.12085365
chr10:21557824:21586293:clu_71_+:NE	0.43744805	0.058411397	0.08131108	0.02289968
chr10:21572026:21586293:clu_71_+:NE	-0.26216158	0.051747646	0.03578541	-0.015962236
chr10:21586348:21595330:clu_71_+:PR	-0.47350484	0.27964687	0.15654537	-0.1231015
chr10:21681376:21682224:clu_73_+:PR	1.3791523	0.38106218	0.54320055	0.16213837
chr10:21681376:21713771:clu_73_+:PR	-1.4138714	0.16666907	0.014548711	-0.15212037
chr10:21682257:21688490:clu_73_+:PR	0.19397329	0.11634112	0.05069685	-0.06564427
chr10:21682257:21713771:clu_73_+:PR	1.6153342	0.21274494	0.38405734	0.1713124
chr10:21688538:21713771:clu_73_+:PR	-1.7745883	0.123182744	0.007496561	-0.115686186
chr10:21735235:21740029:clu_74_+:PR	1.2497857	0.9379187	0.9945938	0.056675076
chr10:21735235:21740153:clu_74_+:PR	-1.2497855	0.062081292	0.005406191	-0.056675103
chr10:22318168:22318271:clu_76_+:PR	-0.024866197	0.2691298	0.27803886	0.008909047
chr10:22318168:22318352:clu_76_+:UP	-2.1471891	0.0060464772	0.00074805383	-0.0052984236
chr10:22318168:22318652:clu_76_+:UP	0.15573175	0.0014217128	0.0017594956	0.00033778278
chr10:22318306:22318652:clu_76_+:PR	-0.069450215	0.29995546	0.29637244	-0.003583014
chr10:22318306:22318958:clu_76_+:PR	2.1819499	0.0018665178	0.017522005	0.015655488
chr10:22318862:22318958:clu_76_+:PR	-0.09617579	0.42157993	0.40555912	-0.016020805
chr10:22319018:22319938:clu_77_+:PR	1.2172698	0.80802757	0.7532017	-0.054825842
chr10:22319018:22326430:clu_77_+:PR	2.525008	0.001302027	0.004487957	0.0031859297
chr10:22321696:22326430:clu_77_+:PR	1.740649	0.14613324	0.2298979	0.08376466
chr10:22322170:22326430:clu_77_+:PR	1.6029083	0.0037006882	0.005072808	0.0013721196
chr10:22325722:22326430:clu_77_+:UP	0.3406338	0.008839987	0.0034294038	-0.0054105837
chr10:22325728:22326430:clu_77_+:PR	-7.04478	0.0112548405	2.7080844e-06	-0.011252132
chr10:22326076:22326430:clu_77_+:UP	-0.38168934	0.020741586	0.0039075813	-0.016834004
chr10:23110318:23119045:clu_79_+:UP	-0.72359765	0.019827038	0.005413166	-0.014413873
chr10:23110318:23119303:clu_79_+:PR	0.59369415	0.9683641	0.9870173	0.018653154
chr10:23119134:23119303:clu_79_+:UP	0.1299034	0.011808814	0.0075695603	-0.0042392532
chr10:27171083:27173117:clu_88_+:PR	-0.08522302	0.41034532	0.3698212	-0.040524125
chr10:27171083:27173120:clu_88_+:PR	0.08522301	0.5896546	0.63017887	0.040524244
chr10:27173259:27180952:clu_89_+:PR	-0.028618548	0.28035527	0.23637298	-0.043982297
chr10:27173259:27181479:clu_89_+:PR	-0.4289958	0.045951508	0.025960153	-0.019991355
chr10:27173259:27186378:clu_89_+:PR	0.012589337	0.023066558	0.020266008	-0.0028005503
chr10:27181066:27181479:clu_89_+:PR	0.13862108	0.2716981	0.27077398	-0.0009241104
chr10:27181581:27186378:clu_89_+:PR	0.30640396	0.37892857	0.4466269	0.06769833
chr10:27526889:27531528:clu_90_+:PR	-0.3189361	0.010686785	0.003282458	-0.007404327
chr10:27526889:27532506:clu_90_+:PR	0.7604532	0.48931515	0.44229653	-0.047018617
chr10:27526889:27533927:clu_90_+:PR	-0.36676353	0.005649773	0.0016542905	-0.0039954823
chr10:27531615:27532506:clu_90_+:PR	-1.0731865	0.01410701	0.0020380756	-0.012068935
chr10:27533853:27533927:clu_90_+:PR	0.99843293	0.4802413	0.5507286	0.07048732
chr10:28533007:28533997:clu_91_+:PR	0.22743304	0.21902181	0.2739994	0.05497758
chr10:28533582:28533997:clu_91_+:PR	-0.5051	0.011660113	0.0070118066	-0.0046483064
chr10:28533620:28533997:clu_91_+:PR	-0.07099132	0.75923467	0.7047486	-0.054486096
chr10:28533893:28533997:clu_91_+:PR	0.34865835	0.010083385	0.0142402	0.004156815
chr10:28534034:28534233:clu_92_+:NE	-0.6785195	0.022544881	0.006804069	-0.015740812
chr10:28534034:28535561:clu_92_+:PR	0.5535061	0.92730653	0.9594138	0.032107294
chr10:28534182:28535561:clu_92_+:PR	1.3321737	0.01197506	0.026991772	0.015016711
chr10:28534346:28535561:clu_92_+:NE	-1.2071605	0.038173478	0.0067904196	-0.03138306
chr10:28535757:28537583:clu_93_+:UP	-0.05313078	0.005661219	0.005093414	-0.000567805
chr10:28535757:28583398:clu_93_+:PR	0.053130776	0.9943388	0.99490654	0.00056773424
chr10:28590832:28595732:clu_94_+:PR	0.31240743	0.35797745	0.36998114	0.01200369
chr10:28590832:28608185:clu_94_+:PR	-0.6429203	0.069721036	0.027720064	-0.04200097
chr10:28596041:28608185:clu_94_+:PR	0.33051297	0.5723015	0.60229874	0.02999723
chr10:28608431:28610698:clu_95_+:PR	0.19813645	0.9359136	0.9487467	0.012833059
chr10:28608431:28610707:clu_95_+:PR	-0.010959981	0.05314364	0.04370754	-0.009436101
chr10:28608431:28610710:clu_95_+:PR	-0.18717645	0.010942808	0.007545778	-0.0033970303
chr10:28610821:28611254:clu_96_+:UP	-0.4253029	0.027727636	0.009026662	-0.018700972
chr10:28610821:28611773:clu_96_+:PR	0.7324608	0.94771	0.98197436	0.034264386
chr10:28611481:28611773:clu_96_+:NE	-0.307158	0.024562329	0.008998987	-0.015563342
chr10:28614685:28616172:clu_97_+:PR	-0.113039784	0.7302908	0.68352497	-0.046765804
chr10:28614685:28616175:clu_97_+:PR	0.11303978	0.2697092	0.31647503	0.046765834
chr10:29409658:29415356:clu_98_+:IN	-0.28315043	0.52144647	0.382143	-0.13930348
chr10:29409683:29415356:clu_98_+:IN	0.2831504	0.47855353	0.61785704	0.1393035
chr10:29415412:29420490:clu_99_+:IN	-2.7173238	0.8972604	0.5540735	-0.34318691
chr10:29415412:29458273:clu_99_+:IN	-1.2440138	0.05106562	0.13760303	0.086537406
chr10:29415412:29467239:clu_99_+:IN	5.731761	2.9496992e-05	0.08507805	0.08504856
chr10:29415412:29468919:clu_99_+:IN	-1.107018	0.0147538595	0.04559334	0.03083948
chr10:29415412:29482832:clu_99_+:IN	-0.66340536	0.03689061	0.17765205	0.14076144
chr10:31461237:31495775:clu_103_+:PR	0.12825266	0.24631198	0.26887688	0.022564903
chr10:31461237:31495778:clu_103_+:PR	-0.00063208275	0.25530884	0.24499649	-0.010312349
chr10:31495838:31502347:clu_103_+:PR	0.01850915	0.48918945	0.4785022	-0.010687232
chr10:31495838:31502353:clu_103_+:PR	-0.14612971	0.009189743	0.00762445	-0.0015652925
chr10:35127193:35137781:clu_106_+:PR	-8.006046	0.008264072	3.8778063e-07	-0.008263685
chr10:35127193:35148367:clu_106_+:PR	1.7973514	0.20854586	0.17707424	-0.031471625
chr10:35127193:35178888:clu_106_+:NE	1.9981005	0.038579024	0.04003955	0.0014605261
chr10:35127193:35206894:clu_106_+:PR	2.9898353	0.042624664	0.1192625	0.076637834
chr10:35127567:35148367:clu_106_+:PR	3.1564093	0.011273671	0.037260648	0.025986977
chr10:35137879:35148367:clu_106_+:PR	1.7245944	0.0107753975	0.008507249	-0.0022681486
chr10:35148491:35152279:clu_106_+:NE	-0.32215193	0.027317438	0.0027855127	-0.024531925
chr10:35148491:35178888:clu_106_+:PR	2.0829809	0.14862512	0.16791646	0.019291341
chr10:35148491:35206894:clu_106_+:NE	2.7205143	0.047675908	0.10190076	0.05422485
chr10:35179276:35188199:clu_106_+:PR	1.1807983	0.044793017	0.020530455	-0.024262562
chr10:35179276:35201450:clu_106_+:PR	-0.26758412	0.013603027	0.0014648704	-0.012138156
chr10:35179276:35206894:clu_106_+:PR	1.6322571	0.082732715	0.05955683	-0.023175884
chr10:35188388:35201450:clu_106_+:PR	-9.0333395	0.010973938	1.843347e-07	-0.010973753
chr10:35188388:35206894:clu_106_+:PR	1.9578602	0.05523921	0.055069275	-0.00016993657
chr10:35195214:35201450:clu_106_+:PR	-0.045817714	0.02001904	0.0026910314	-0.017328009
chr10:35195214:35206894:clu_106_+:PR	1.5774022	0.075348794	0.05134609	-0.024002705
chr10:35196099:35201450:clu_106_+:PR	-0.2867284	0.011469488	0.0012116951	-0.010257793
chr10:35196099:35206894:clu_106_+:PR	3.3795083	0.029202389	0.120640785	0.0914384
chr10:35196142:35201450:clu_106_+:PR	-10.010531	0.013470736	8.516214e-08	-0.013470652
chr10:35196142:35206894:clu_106_+:PR	1.6473905	0.029499674	0.021559754	-0.00793992
chr10:35201486:35206894:clu_106_+:PR	0.12719536	0.0699668	0.011181659	-0.05878514
chr10:35207051:35211253:clu_107_+:PR	-0.5281238	0.815898	0.60648286	-0.20941514
chr10:35207051:35211655:clu_107_+:PR	0.5281238	0.184102	0.39351717	0.20941517
chr10:38010783:38012297:clu_108_+:PR	-0.18983309	0.49793604	0.5029565	0.0050204694
chr10:38012350:38016870:clu_108_+:PR	-0.22064418	0.49590775	0.48570958	-0.010198176
chr10:38012350:38016874:clu_108_+:NE	0.41047728	0.00615618	0.011333907	0.005177727
chr10:38017015:38017290:clu_109_+:PR	0.63506335	0.907546	0.97219014	0.06464416
chr10:38017020:38017290:clu_109_+:PR	-0.6350633	0.09245403	0.0278099	-0.06464413
chr10:38094490:38094930:clu_111_+:PR	0.26092055	0.34364963	0.4331965	0.08954689
chr10:38094490:38095537:clu_111_+:PR	-0.06739253	0.15157823	0.13760096	-0.013977274
chr10:38095224:38095357:clu_111_+:PR	-0.04078833	0.08570303	0.07989779	-0.005805239
chr10:38095224:38095537:clu_111_+:PR	-0.15273969	0.4190691	0.3493047	-0.069764405
chr10:38095629:38095743:clu_112_+:PR	0.15505594	0.84846646	0.88419145	0.035724998
chr10:38095633:38095743:clu_112_+:PR	-0.15505593	0.1515336	0.11580857	-0.035725035
chr10:44971848:44982520:clu_118_+:PR	-0.2938285	0.9104038	0.8698056	-0.040598214
chr10:44971848:44982524:clu_118_+:UP	0.0696069	0.058790375	0.080785304	0.02199493
chr10:44980927:44982520:clu_118_+:UP	0.22422159	0.030805837	0.049409162	0.018603325
chr10:44982663:44983869:clu_119_+:UP	0.48002675	0.033244777	0.074304335	0.041059557
chr10:44982663:44983940:clu_119_+:PR	-0.06161018	0.11743515	0.15270698	0.03527183
chr10:44982663:44984021:clu_119_+:PR	-0.41841653	0.84932005	0.77298874	-0.07633132
chr10:45750838:45751481:clu_123_+:PR	-1.0198634	0.6554483	0.54920185	-0.10624647
chr10:45750838:45752587:clu_123_+:PR	1.8132391	0.006724867	0.09578073	0.089055866
chr10:45751553:45752587:clu_123_+:PR	-0.7933762	0.3378268	0.35501748	0.017190695
chr10:45765810:45769448:clu_124_+:PR	0.118956424	0.8747326	0.898565	0.02383238
chr10:45765810:45769454:clu_124_+:PR	-0.11895641	0.12526737	0.10143502	-0.023832351
chr10:48306821:48308094:clu_129_+:PR	0.323379	0.2195757	0.25626084	0.03668514
chr10:48306821:48401611:clu_129_+:PR	0.50055087	0.20500615	0.2856338	0.08062765
chr10:48308288:48325896:clu_129_+:PR	-0.61253333	0.12945643	0.059259787	-0.07019664
chr10:48308288:48401611:clu_129_+:PR	0.3569537	0.25461185	0.3072967	0.052684844
chr10:48325965:48401611:clu_129_+:PR	-0.56835043	0.19134986	0.09154886	-0.099801004
chr10:48420320:48424087:clu_130_+:PR	1.8801906	0.10546112	0.83512795	0.7296668
chr10:48420320:48424513:clu_130_+:PR	-1.8801905	0.8945389	0.16487205	-0.7296668
chr10:48424159:48425887:clu_131_+:PR	1.6870406	0.13207296	0.81627744	0.68420446
chr10:48424585:48425887:clu_131_+:PR	-1.6870403	0.867927	0.18372257	-0.68420446
chr10:48431270:48434878:clu_132_+:PR	0.35937962	0.6604747	0.7996598	0.13918507
chr10:48431270:48434883:clu_132_+:PR	-0.3593796	0.33952534	0.2003402	-0.13918515
chr10:49942300:49943234:clu_135_+:UP	-0.18729722	0.092798404	0.08019772	-0.012600683
chr10:49942300:49945031:clu_135_+:PR	0.069229774	0.19587563	0.21878129	0.022905663
chr10:49942300:49952125:clu_135_+:UP	0.45441887	0.07641033	0.12544905	0.049038716
chr10:49943358:49945031:clu_135_+:UP	-0.22078796	0.15030095	0.1256141	-0.024686843
chr10:49945090:49952125:clu_135_+:PR	-0.11556344	0.48461476	0.44995782	-0.034656942
chr10:49958480:49973011:clu_136_+:PR	0.19161402	0.83663046	0.8825286	0.04589814
chr10:49970458:49973011:clu_136_+:UP	-0.191614	0.16336954	0.117471464	-0.045898072
chr10:50091518:50092161:clu_137_+:PR	-0.3877408	0.60372454	0.59007984	-0.013644695
chr10:50091518:50093267:clu_137_+:PR	0.82347983	0.01734071	0.056906957	0.03956625
chr10:50092233:50093267:clu_137_+:PR	-0.4357392	0.3789348	0.35301325	-0.025921553
chr10:50126179:50127159:clu_139_+:PR	-0.8061475	0.46161503	0.23917553	-0.2224395
chr10:50126179:50127582:clu_139_+:PR	1.6658212	0.08791506	0.5395882	0.45167315
chr10:50127222:50127582:clu_139_+:PR	-0.859674	0.45046988	0.22123624	-0.22923364
chr10:58269304:58276117:clu_142_+:UP	0.18562138	0.0063461405	0.008840647	0.002494506
chr10:58269304:58277116:clu_142_+:PR	-0.14960034	0.9837763	0.98013467	-0.0036416054
chr10:58276212:58277116:clu_142_+:UP	-0.03602101	0.009877538	0.011024655	0.0011471165
chr10:58277322:58282898:clu_143_+:UP	-0.8363937	0.020239612	0.0030967211	-0.017142892
chr10:58277322:58287560:clu_143_+:PR	1.0694637	0.9647562	0.9927063	0.027950108
chr10:58283082:58287560:clu_143_+:UP	-0.23307025	0.015004298	0.0041969675	-0.01080733
chr10:58361401:58361494:clu_144_+:PR	0.39045206	0.45900843	0.46231648	0.0033080578
chr10:58361401:58363608:clu_144_+:PR	-0.7902613	0.017429424	0.0053904434	-0.012038982
chr10:58361526:58363608:clu_144_+:PR	0.39980942	0.52356213	0.5322931	0.008730948
chr10:58386338:58388189:clu_145_+:PR	3.4023757	0.99277556	0.9999919	0.0072163343
chr10:58386716:58388189:clu_145_+:UP	-3.4023755	0.007224503	8.066539e-06	-0.0072164363
chr10:58388819:58390764:clu_146_+:PR	0.17165673	0.43550107	0.4516819	0.016180843
chr10:58388819:58394357:clu_146_+:PR	-0.30333066	0.04041906	0.026070254	-0.014348807
chr10:58390860:58394357:clu_146_+:PR	0.131674	0.52407986	0.5222478	-0.001832068
chr10:63133500:63146208:clu_155_+:PR	-0.40440124	0.5169545	0.45147613	-0.065478355
chr10:63133500:63152149:clu_155_+:PR	0.55701476	0.0050595533	0.011556661	0.0064971074
chr10:63146293:63152149:clu_155_+:PR	-0.15261362	0.47798607	0.5369672	0.05898115
chr10:68332216:68337198:clu_159_+:PR	-0.19392219	0.5864511	0.49036852	-0.0960826
chr10:68332235:68337198:clu_159_+:NE	0.19392218	0.41354883	0.50963145	0.09608263
chr10:68337333:68337857:clu_160_+:PR	-0.121754095	0.4910788	0.48676473	-0.004314065
chr10:68337333:68338502:clu_160_+:UP	0.28483582	0.0543491	0.08089841	0.026549313
chr10:68337996:68338502:clu_160_+:PR	-0.16308177	0.45457208	0.4323369	-0.022235185
chr10:68338642:68339139:clu_161_+:PR	-0.82870495	0.3066588	0.07775871	-0.2289001
chr10:68338687:68339139:clu_161_+:PR	0.8287049	0.69334126	0.9222413	0.22890002
