intron	logef_female	psi_male	psi_female	deltapsi_female
chr1:188889:195263:clu_7_-	0.31194538	0.00086748635	0.0011131321	0.00024564576
chr1:188889:199837:clu_7_-	0.8346034	0.008425797	0.018234033	0.009808236
chr1:188892:189024:clu_7_-	-0.1433251	0.017280167	0.014064058	-0.0032161092
chr1:188892:195263:clu_7_-	-0.20169465	0.020830031	0.015992004	-0.004838027
chr1:188892:199837:clu_7_-	-0.21417733	0.004672089	0.0035424454	-0.0011296438
chr1:188902:195263:clu_7_-	0.060985435	0.20955545	0.20921496	-0.00034049153
chr1:189077:195263:clu_7_-	-0.5418793	0.015073161	0.008235256	-0.0068379045
chr1:194143:195263:clu_7_-	0.21138787	0.004322753	0.0050161756	0.00069342274
chr1:194964:195263:clu_7_-	0.020494044	0.0107947895	0.010349578	-0.0004452113
chr1:195416:199837:clu_7_-	-0.28878975	0.0057639866	0.0040561236	-0.0017078631
chr1:24439:24738:clu_7_-	0.11551362	0.029683921	0.031296533	0.0016126111
chr1:24891:29321:clu_7_-	-0.4445195	0.007750106	0.0046672723	-0.0030828337
chr1:187577:187755:clu_8_-	-0.15687329	0.4822094	0.48697698	0.004767567
chr1:187577:188130:clu_8_-	0.09567088	0.020962484	0.027251728	0.0062892437
chr1:187577:188439:clu_8_-	0.45905492	0.0013342048	0.0024945342	0.0011603294
chr1:187890:188130:clu_8_-	-0.16817771	0.3025478	0.3021046	-0.00044322014
chr1:188266:188439:clu_8_-	-0.22967477	0.1929461	0.18117216	-0.011773944
chr1:494898:494992:clu_9_-	0.5001706	0.084625386	0.09281894	0.0081935525
chr1:494898:729898:clu_9_-	-0.70696664	0.014710233	0.0048250575	-0.009885175
chr1:497299:498399:clu_9_-	0.5509788	0.036889933	0.04257058	0.0056806467
chr1:497299:501556:clu_9_-	0.12622388	0.023288378	0.017574064	-0.005714314
chr1:497299:736713:clu_9_-	-0.011660833	0.005181387	0.0034064064	-0.0017749807
chr1:498305:498399:clu_9_-	0.5998252	0.10268549	0.124429815	0.021744326
chr1:498305:729898:clu_9_-	-0.1506608	0.005068227	0.0028996102	-0.002168617
chr1:498305:736713:clu_9_-	-0.049690846	0.0029408964	0.0018612891	-0.0010796073
chr1:498456:501556:clu_9_-	0.27026168	0.019415488	0.016921392	-0.0024940968
chr1:729804:729898:clu_9_-	0.7563375	0.10222572	0.14485984	0.042634115
chr1:729804:733307:clu_9_-	0.54843634	0.16092522	0.18523444	0.024309218
chr1:729804:736713:clu_9_-	0.4148412	0.062497452	0.06294197	0.00044451654
chr1:732207:732981:clu_9_-	-0.34934938	0.021266889	0.00997466	-0.0112922285
chr1:732207:736387:clu_9_-	0.8215408	0.0013455985	0.0020352642	0.00068966567
chr1:732207:739803:clu_9_-	-2.5090957	0.019721132	0.0010669894	-0.018654142
chr1:732211:732981:clu_9_-	0.57730937	0.010612897	0.012573926	0.0019610291
chr1:733213:733307:clu_9_-	0.21824703	0.01832571	0.015162091	-0.00316362
chr1:735613:736387:clu_9_-	0.70893496	0.0015018976	0.0020297454	0.0005278478
chr1:735613:739803:clu_9_-	-2.6075413	0.022137998	0.001085456	-0.021052541
chr1:735617:739803:clu_9_-	0.16884203	0.012400829	0.009765456	-0.0026353728
chr1:736619:736713:clu_9_-	0.419641	0.14985241	0.1516443	0.0017918944
chr1:736619:740129:clu_9_-	0.21954481	0.09082828	0.07524592	-0.01558236
chr1:739024:739803:clu_9_-	-1.1251844	0.01197008	0.002584344	-0.009385737
chr1:739024:740129:clu_9_-	0.45162347	0.0046676947	0.0048770215	0.00020932686
chr1:739028:739803:clu_9_-	0.15739167	0.014914754	0.011611416	-0.0033033378
chr1:495049:495277:clu_10_-	-0.0058066407	0.14995885	0.16068159	0.0107227415
chr1:495049:497105:clu_10_-	0.041048728	0.013382617	0.01502741	0.001644793
chr1:495049:497109:clu_10_-	-0.11795149	0.72901374	0.698274	-0.030739725
chr1:495049:498684:clu_10_-	0.08270939	0.10764481	0.126017	0.018372193
chr1:501620:502187:clu_11_-	-0.094725326	0.3265787	0.31882375	-0.0077549517
chr1:501620:502465:clu_11_-	-0.062733345	0.47085282	0.4746155	0.0037626922
chr1:501620:502862:clu_11_-	0.58730984	0.05282402	0.10199959	0.049175568
chr1:502243:502465:clu_11_-	-0.4298511	0.14974447	0.10456115	-0.045183316
chr1:505103:514359:clu_13_-	0.24159393	0.12288462	0.16525365	0.04236903
chr1:505103:749238:clu_13_-	0.15160139	0.011203895	0.013770171	0.0025662761
chr1:746818:749238:clu_13_-	-0.10038417	0.26624188	0.2543377	-0.01190418
chr1:746818:756077:clu_13_-	-0.09574241	0.34464076	0.33076298	-0.013877779
chr1:749381:753663:clu_13_-	-0.33084556	0.10758538	0.08162054	-0.025964841
chr1:749381:756077:clu_13_-	-0.034489244	0.13083138	0.1334947	0.0026633292
chr1:753852:756077:clu_13_-	0.16826607	0.01661212	0.020760255	0.004148135
chr1:729955:732013:clu_14_-	-0.19028006	0.025683563	0.020029033	-0.0056545306
chr1:729955:732017:clu_14_-	0.07505684	0.3072972	0.31246233	0.00516513
chr1:729955:735423:clu_14_-	-0.10132141	0.021279395	0.018138368	-0.003141027
chr1:733364:733592:clu_14_-	0.40182412	0.004558196	0.0064260685	0.0018678727
chr1:733364:735419:clu_14_-	-0.03765791	0.013062989	0.011866707	-0.001196282
chr1:733364:735423:clu_14_-	0.18757819	0.2873197	0.32694292	0.03962323
chr1:733364:736771:clu_14_-	0.21291041	0.010739535	0.012534114	0.0017945785
chr1:733364:738834:clu_14_-	0.11913692	0.013027897	0.013843859	0.0008159615
chr1:733364:743286:clu_14_-	-0.8900761	0.014703092	0.005695027	-0.009008065
chr1:736770:738830:clu_14_-	-0.9960788	0.032384466	0.01128204	-0.021102427
chr1:736770:738834:clu_14_-	0.013404292	0.26641327	0.2546945	-0.01171878
chr1:736770:743286:clu_14_-	0.5967863	0.0017779289	0.0030460558	0.0012681269
chr1:740186:743286:clu_14_-	0.6087172	0.0017527796	0.0030390106	0.001286231
chr1:514423:522859:clu_16_-	0.24876754	0.12869202	0.19544058	0.06674856
chr1:517266:522859:clu_16_-	-0.24876751	0.87130797	0.8045594	-0.06674856
chr1:768613:769497:clu_17_-	0.01960318	0.5417517	0.5499072	0.008155525
chr1:768613:774171:clu_17_-	-0.07082892	0.24920206	0.23108229	-0.018119767
chr1:773107:774171:clu_17_-	0.05122575	0.20904627	0.21901056	0.009964287
chr1:774280:778284:clu_18_-	0.19916806	0.7705974	0.7918423	0.021244884
chr1:774280:778559:clu_18_-	0.22133498	0.16338554	0.17165312	0.008267581
chr1:774280:805799:clu_18_-	-0.42050302	0.06601709	0.036504615	-0.029512476
chr1:944800:945042:clu_25_-	-0.01882021	0.39262003	0.38368112	-0.008938909
chr1:944800:945057:clu_25_-	0.01882021	0.60738003	0.6163189	0.008938849
chr1:945653:946147:clu_26_-	0.105741635	0.005456631	0.0067330655	0.0012764344
chr1:945653:946173:clu_26_-	-0.10574163	0.99454343	0.99326694	-0.0012764931
chr1:946497:948131:clu_27_-	0.08662143	0.007919439	0.009403353	0.0014839135
chr1:946545:948131:clu_27_-	-0.086621426	0.99208057	0.99059665	-0.0014839172
chr1:948591:951127:clu_28_-	0.16654214	0.00526274	0.0055759223	0.00031318236
chr1:948594:951127:clu_28_-	-0.28280273	0.023606084	0.015958086	-0.0076479986
chr1:948603:951127:clu_28_-	0.11626063	0.9711312	0.978466	0.007334769
chr1:954082:954464:clu_29_-	0.056923818	0.025110839	0.02876143	0.0036505908
chr1:954082:955923:clu_29_-	-0.08903812	0.9257226	0.9163042	-0.009418428
chr1:954523:955923:clu_29_-	0.032114312	0.049166538	0.054934382	0.0057678446
chr1:1217688:1218458:clu_31_-	0.081900306	0.97880566	0.9819501	0.003144443
chr1:1217804:1218458:clu_31_-	-0.081900306	0.021194363	0.018049933	-0.00314443
chr1:1218922:1223244:clu_32_-	-0.084482275	0.01624535	0.013754568	-0.0024907822
chr1:1218927:1223244:clu_32_-	0.08448227	0.98375463	0.98624545	0.0024908185
chr1:1228946:1231507:clu_33_-	-0.1698797	0.039459698	0.028415998	-0.011043699
chr1:1228946:1231892:clu_33_-	0.16987969	0.96054035	0.97158396	0.011043608
chr1:1255487:1256045:clu_34_-	-0.25492445	0.52911276	0.5188104	-0.010302365
chr1:1255487:1256992:clu_34_-	0.47268787	0.00196642	0.003991487	0.0020250669
chr1:1256125:1256992:clu_34_-	-0.21776347	0.46892083	0.4771981	0.008277267
chr1:1257310:1262269:clu_35_-	-0.08316904	0.014253515	0.016636537	0.0023830226
chr1:1257310:1263346:clu_35_-	-0.24866529	0.9750815	0.96451235	-0.010569155
chr1:1262390:1263346:clu_35_-	0.33183435	0.010665029	0.018851103	0.008186074
chr1:1263386:1264783:clu_36_-	-0.14377223	0.013921228	0.013138263	-0.0007829657
chr1:1263386:1266098:clu_36_-	0.064175844	0.0067636734	0.007858756	0.0010950826
chr1:1263386:1267733:clu_36_-	0.5156993	0.0051334077	0.009368521	0.0042351135
chr1:1263386:1267862:clu_36_-	-0.06752062	0.7483522	0.7622231	0.013870895
chr1:1263386:1273666:clu_36_-	0.03467577	0.022614388	0.025511984	0.002897596
chr1:1264830:1267862:clu_36_-	-0.10267001	0.010206373	0.010036501	-0.0001698723
chr1:1267992:1272853:clu_36_-	-0.07203118	0.0049235392	0.0049922294	6.869016e-05
chr1:1267992:1273499:clu_36_-	-0.01447268	0.0072857104	0.007825037	0.00053932704
chr1:1267992:1273666:clu_36_-	-0.21408422	0.18079942	0.1590455	-0.021753922
chr1:1297933:1298013:clu_37_-	0.21650617	0.89495647	0.92926234	0.03430587
chr1:1297933:1298030:clu_37_-	-0.21650614	0.10504357	0.070737705	-0.034305863
chr1:1302975:1303132:clu_38_-	0.0041015777	0.020407157	0.020571798	0.00016464107
chr1:1302975:1303162:clu_38_-	-0.004101577	0.97959286	0.9794282	-0.00016468763
chr1:1312368:1312440:clu_39_-	-0.061713435	0.5271511	0.51873195	-0.008419156
chr1:1312368:1312593:clu_39_-	0.09275493	0.011055829	0.012696495	0.0016406663
chr1:1312501:1312593:clu_39_-	-0.0310415	0.4617931	0.46857154	0.006778449
chr1:1313097:1313509:clu_40_-	-0.077592924	0.005134822	0.0043999697	-0.00073485216
chr1:1313124:1313509:clu_40_-	0.077592924	0.9948652	0.9956	0.00073480606
chr1:1313921:1314301:clu_41_-	-0.3253449	0.5424524	0.5396025	-0.0028498769
chr1:1313921:1314824:clu_41_-	0.058567867	0.0027385138	0.003999065	0.0012605514
chr1:1314105:1314301:clu_41_-	-0.24237673	0.005165767	0.005583156	0.00041738898
chr1:1314365:1314824:clu_41_-	-0.32271937	0.4485551	0.4473716	-0.0011835098
chr1:1314619:1314824:clu_41_-	0.83187306	0.0010882573	0.0034436365	0.002355379
chr1:1319433:1320456:clu_42_-	0.07646491	0.020121627	0.021094523	0.0009728968
chr1:1319524:1320456:clu_42_-	0.03250518	0.6935326	0.6957962	0.0022636056
chr1:1319524:1324581:clu_42_-	-0.12999086	0.006407439	0.005464224	-0.00094321463
chr1:1321093:1324581:clu_42_-	0.02102077	0.2799384	0.2776451	-0.0022932887
chr1:1338653:1339287:clu_43_-	0.036133725	0.7358751	0.74968	0.013804853
chr1:1338653:1339362:clu_43_-	-0.03613372	0.26412487	0.25032008	-0.013804793
chr1:1374361:1374705:clu_44_-	-0.34734702	0.07559203	0.036363084	-0.03922895
chr1:1374445:1374705:clu_44_-	0.6209466	0.6474761	0.8202249	0.1727488
chr1:1374590:1374705:clu_44_-	-0.27359965	0.27693188	0.14341207	-0.13351981
chr1:1374790:1374997:clu_45_-	0.01844943	0.2048601	0.21093616	0.006076053
chr1:1374790:1375154:clu_45_-	-0.018449428	0.79513985	0.7890639	-0.0060759783
chr1:1388065:1388492:clu_46_-	0.49981266	0.011278285	0.024883699	0.013605414
chr1:1388065:1388626:clu_46_-	-0.44538224	0.04474214	0.038361527	-0.006380614
chr1:1388065:1390230:clu_46_-	-0.32028687	0.9001938	0.8746682	-0.02552563
chr1:1388510:1388626:clu_46_-	0.36011916	0.012493165	0.023970462	0.011477297
chr1:1388743:1390230:clu_46_-	-0.09426269	0.03129259	0.038116224	0.006823633
chr1:1390865:1391297:clu_47_-	0.10000981	0.011628711	0.013578063	0.0019493522
chr1:1390865:1392679:clu_47_-	0.06959661	0.11765787	0.13326588	0.015608013
chr1:1390865:1392790:clu_47_-	0.02659176	0.03776874	0.040978283	0.0032095425
chr1:1390865:1393396:clu_47_-	-0.12462887	0.38452023	0.35864615	-0.025874078
chr1:1391575:1392679:clu_47_-	-0.026367912	0.036765136	0.03783184	0.0010667033
chr1:1392803:1393396:clu_47_-	-0.04520139	0.4116593	0.4156998	0.0040405095
chr1:1402250:1405809:clu_48_-	-0.04077351	0.0040207338	0.0041294917	0.00010875799
chr1:1402256:1402359:clu_48_-	-0.088188134	0.0049983524	0.004895829	-0.00010252325
chr1:1402256:1402462:clu_48_-	0.037833534	0.0064008753	0.007111632	0.0007107565
chr1:1402256:1405803:clu_48_-	-0.032695282	0.0048605506	0.005032517	0.00017196639
chr1:1402256:1405809:clu_48_-	-0.07147006	0.9689914	0.9651169	-0.0038744807
chr1:1402425:1405809:clu_48_-	-0.107372515	0.0037362978	0.0035901216	-0.0001461762
chr1:1402601:1405809:clu_48_-	0.302666	0.006991766	0.010123532	0.0031317663
chr1:1405886:1406226:clu_49_-	-0.033737775	0.0074167443	0.008057095	0.00064035086
chr1:1405886:1406909:clu_49_-	-0.11882062	0.98740685	0.985168	-0.0022388697
chr1:1406346:1406909:clu_49_-	0.1525584	0.0051764734	0.006774958	0.0015984848
chr1:1640446:1641048:clu_50_-	0.25841403	0.010165608	0.0123815825	0.002215975
chr1:1640452:1641048:clu_50_-	0.0641425	0.97391975	0.97677594	0.002856195
chr1:1640467:1641048:clu_50_-	-0.32255653	0.015914626	0.010842439	-0.0050721876
chr1:1642001:1642347:clu_51_-	-0.0017950464	0.057877522	0.05768208	-0.00019544363
chr1:1642001:1642386:clu_51_-	0.0017950463	0.94212246	0.9423179	0.00019544363
chr1:1642508:1645126:clu_52_-	0.10044401	0.117478654	0.126027	0.008548349
chr1:1642508:1649499:clu_52_-	0.15902524	0.022263868	0.025324846	0.003060978
chr1:1645262:1649499:clu_52_-	0.024938216	0.8334662	0.8290885	-0.004377663
chr1:1645289:1649499:clu_52_-	-0.28440747	0.026791357	0.019559626	-0.007231731
chr1:1649637:1652439:clu_53_-	-0.034522604	0.8765117	0.868842	-0.0076696873
chr1:1649637:1652469:clu_53_-	0.0345226	0.12348827	0.131158	0.0076697245
chr1:1705732:1707409:clu_54_-	-0.09790718	0.8713641	0.84777546	-0.023588657
chr1:1705732:1707525:clu_54_-	0.09790717	0.12863593	0.15222451	0.023588583
chr1:1707584:1708180:clu_55_-	0.25030205	0.98229635	0.98919326	0.006896913
chr1:1707599:1708180:clu_55_-	-0.25030202	0.017703688	0.01080669	-0.006896998
chr1:1709133:1709479:clu_56_-	-0.007482725	0.06518428	0.064278275	-0.0009060055
chr1:1709133:1709518:clu_56_-	0.0074827243	0.9348157	0.9357217	0.0009059906
chr1:1709640:1712264:clu_57_-	0.0102201365	0.28183836	0.2890751	0.007236749
chr1:1709640:1716346:clu_57_-	-0.20715302	0.018658562	0.015398726	-0.0032598358
chr1:1712400:1716346:clu_57_-	-0.031232841	0.6748139	0.66403633	-0.010777593
chr1:1712427:1716346:clu_57_-	0.22816575	0.024689214	0.03148984	0.0068006273
chr1:1716478:1719328:clu_58_-	0.06705684	0.39639276	0.4288844	0.032491624
chr1:1716478:1719358:clu_58_-	-0.067056835	0.60360724	0.5711157	-0.032491565
chr1:1815862:1817837:clu_59_-	-0.11952365	0.5588937	0.55896926	7.557869e-05
chr1:1815862:1825397:clu_59_-	0.24450321	0.005094672	0.007332799	0.002238127
chr1:1817875:1825397:clu_59_-	-0.124979585	0.43601164	0.4336979	-0.002313733
chr1:1825499:1839190:clu_60_-	-0.025961058	0.67453885	0.67332554	-0.0012133121
chr1:1825499:1890820:clu_60_-	0.16637498	0.040784065	0.049344536	0.008560471
chr1:1839238:1852570:clu_60_-	-0.01859469	0.013378489	0.013453162	7.4673444e-05
chr1:1839238:1853152:clu_60_-	0.006348567	0.013295194	0.013707071	0.00041187648
chr1:1839238:1879787:clu_60_-	-0.16355905	0.014758995	0.012838576	-0.0019204188
chr1:1839238:1890820:clu_60_-	-0.055933	0.23222467	0.22496232	-0.007262349
chr1:1852680:1853152:clu_60_-	0.091324255	0.011019731	0.01236874	0.0013490086
chr1:1636481:1636682:clu_61_-	0.04078028	0.77260447	0.7542935	-0.018310964
chr1:1636481:1703824:clu_61_-	-0.18342996	0.0003569043	0.00027845925	-7.844504e-05
chr1:1703624:1703824:clu_61_-	0.1426497	0.22703862	0.24542806	0.018389434
chr1:1703995:1704223:clu_62_-	-0.102359205	0.2893236	0.2491053	-0.040218294
chr1:1704146:1704223:clu_62_-	0.10235919	0.71067643	0.75089467	0.040218234
chr1:1637513:1637634:clu_63_-	-0.039221324	0.008824953	0.008511285	-0.00031366758
chr1:1637513:1637762:clu_63_-	-0.019473176	0.81582344	0.80251926	-0.013304174
chr1:1637513:1704904:clu_63_-	-0.15803857	0.0026241967	0.0022473847	-0.00037681195
chr1:1704655:1704776:clu_63_-	0.14647873	0.010100503	0.011729358	0.0016288543
chr1:1704655:1704904:clu_63_-	0.070254326	0.16262697	0.17499268	0.012365714
chr1:1655484:1657256:clu_64_-	0.02779471	0.1243575	0.12854877	0.004191272
chr1:1655484:1657375:clu_64_-	-0.00939862	0.8021155	0.79887706	-0.0032384396
chr1:1657302:1657375:clu_64_-	-0.018396087	0.07352699	0.07257422	-0.0009527728
chr1:1657498:1658456:clu_65_-	-0.26074356	0.03168975	0.024129884	-0.007559864
chr1:1657498:1658605:clu_65_-	-0.05470169	0.026655814	0.024940854	-0.0017149597
chr1:1657498:1658914:clu_65_-	-0.014609216	0.2649333	0.25802863	-0.0069046617
chr1:1657498:1723800:clu_65_-	-0.21969502	0.01103409	0.0087538725	-0.0022802176
chr1:1657498:1723949:clu_65_-	0.2627558	0.006920273	0.008894319	0.0019740458
chr1:1722831:1723800:clu_65_-	-0.13601519	0.029698694	0.025617858	-0.0040808357
chr1:1722831:1723949:clu_65_-	-0.064045385	0.028716087	0.026618691	-0.0020973962
chr1:1722831:1724258:clu_65_-	0.037130833	0.48112676	0.4934706	0.012343854
chr1:1722831:1734690:clu_65_-	0.14479017	0.012086448	0.013805632	0.0017191833
chr1:1725422:1734690:clu_65_-	0.37822303	0.032972213	0.04756465	0.014592439
chr1:1729680:1734690:clu_65_-	0.11851196	0.02581575	0.028723001	0.002907252
chr1:1732523:1734690:clu_65_-	-0.19160178	0.048350807	0.039451923	-0.008898884
chr1:1660111:1668327:clu_66_-	0.175214	0.028214613	0.03958684	0.011372225
chr1:1666019:1668327:clu_66_-	-0.17521398	0.9717854	0.96041316	-0.011372268
chr1:1721711:1722588:clu_67_-	0.061679523	0.11499394	0.12552357	0.01052963
chr1:1721711:1722708:clu_67_-	-0.039914493	0.7877496	0.7768136	-0.010935962
chr1:1722634:1722708:clu_67_-	-0.021765025	0.09725648	0.09766286	0.00040637702
chr1:1668472:1669664:clu_68_-	0.072298996	0.17114829	0.18951754	0.018369257
chr1:1668472:1675463:clu_68_-	-0.008964342	0.04998219	0.05102698	0.0010447912
chr1:1670151:1671509:clu_68_-	-0.031777896	0.20545624	0.20501994	-0.000436306
chr1:1670151:1675463:clu_68_-	-0.13383222	0.019231416	0.017328715	-0.0019027013
chr1:1670151:1738321:clu_68_-	-0.19195658	0.008253968	0.0070173773	-0.001236591
chr1:1671629:1675463:clu_68_-	-0.097017206	0.46705893	0.43663183	-0.030427098
chr1:1734835:1735204:clu_68_-	0.19315955	0.027914625	0.034881704	0.006967079
chr1:1734835:1738321:clu_68_-	0.062964335	0.01834348	0.020123547	0.0017800666
chr1:1737809:1738321:clu_68_-	0.13512537	0.032610774	0.03845237	0.005841594
chr1:1676846:1690976:clu_69_-	0.060922623	0.29047975	0.31337517	0.022895426
chr1:1676846:1692449:clu_69_-	0.07239542	0.27753353	0.30286333	0.025329798
chr1:1691393:1692449:clu_69_-	-0.13331805	0.43198675	0.3837615	-0.048225254
chr1:1753054:1753567:clu_70_-	-0.087953776	0.0014971334	0.001528614	3.1480566e-05
chr1:1753060:1753567:clu_70_-	-0.13371077	0.4865159	0.4745285	-0.011987418
chr1:1753060:1754051:clu_70_-	-0.03240782	0.012804865	0.013820876	0.0010160115
chr1:1753060:1754284:clu_70_-	0.4493632	0.005659127	0.009888731	0.004229604
chr1:1753649:1754051:clu_70_-	-0.103291474	0.33357927	0.3354094	0.0018301308
chr1:1753649:1754284:clu_70_-	-0.004442024	0.016404064	0.018207798	0.0018037334
chr1:1754208:1754284:clu_70_-	-0.08755737	0.14353973	0.14661606	0.0030763298
chr1:1754698:1755374:clu_71_-	0.07844426	0.43878326	0.4510438	0.012260556
chr1:1754698:1756258:clu_71_-	-0.11173909	0.01865578	0.01585574	-0.00280004
chr1:1755476:1756258:clu_71_-	0.03329485	0.54256094	0.5331005	-0.009460449
chr1:1756608:1756739:clu_72_-	0.08741366	0.010278691	0.00984756	-0.00043113064
chr1:1756608:1756779:clu_72_-	-0.15336141	0.010127824	0.007626753	-0.002501071
chr1:1756608:1757181:clu_72_-	0.14010593	0.9448991	0.9542456	0.009346545
chr1:1756882:1757181:clu_72_-	-0.07415816	0.0346944	0.028280072	-0.006414328
chr1:1757310:1761891:clu_73_-	-0.08587461	0.029033843	0.02456458	-0.0044692643
chr1:1757310:1761952:clu_73_-	0.0858746	0.9709661	0.97543544	0.004469335
chr1:1762035:1765228:clu_74_-	-0.1455985	0.7405406	0.72285223	-0.017688394
chr1:1762035:1779905:clu_74_-	0.012246221	0.009694096	0.011080487	0.001386391
chr1:1765446:1778289:clu_74_-	-0.13733386	0.1404475	0.13823049	-0.0022170097
chr1:1765446:1778746:clu_74_-	0.24527545	0.004315954	0.006227759	0.001911805
chr1:1765446:1779905:clu_74_-	0.025410652	0.105001844	0.12160902	0.016607173
chr1:1787053:1787322:clu_75_-	0.020450694	0.94284654	0.945011	0.002164483
chr1:1787053:1787326:clu_75_-	-0.020450694	0.057153467	0.05498893	-0.002164539
chr1:2185513:2193639:clu_76_-	-0.059548732	0.04055481	0.034575406	-0.005979404
chr1:2189781:2192845:clu_76_-	-0.05329902	0.16309936	0.13992372	-0.023175642
chr1:2189781:2193639:clu_76_-	0.1621271	0.6418702	0.68303764	0.041167438
chr1:2192076:2192845:clu_76_-	-0.0944286	0.03059248	0.02518787	-0.00540461
chr1:2192975:2193639:clu_76_-	0.04514925	0.12388312	0.11727536	-0.0066077635
chr1:2193910:2193998:clu_77_-	-0.004329102	0.9435345	0.9430714	-0.00046306849
chr1:2193910:2194028:clu_77_-	0.004329102	0.0564655	0.056928556	0.0004630573
chr1:2406895:2408452:clu_79_-	0.035305813	0.9022804	0.8972098	-0.005070567
chr1:2406895:2408456:clu_79_-	-0.38037226	0.042420395	0.027835598	-0.0145847965
chr1:2406952:2408452:clu_79_-	0.3450665	0.055299174	0.07495464	0.019655462
chr1:2510748:2511338:clu_81_-	-0.041293602	0.19215307	0.17965783	-0.012495235
chr1:2510782:2511338:clu_81_-	0.041293602	0.8078469	0.8203422	0.012495279
chr1:2511383:2511628:clu_82_-	0.25588697	0.012815237	0.021197466	0.008382229
chr1:2511387:2511628:clu_82_-	-0.25588694	0.98718476	0.9788025	-0.008382261
chr1:2550274:2550573:clu_83_-	-0.1464248	0.08891211	0.07434941	-0.014562696
chr1:2550274:2550992:clu_83_-	0.036529712	0.7693203	0.7724671	0.0031467676
chr1:2550731:2550992:clu_83_-	0.10989508	0.14176762	0.1531835	0.011415884
chr1:3631657:3632023:clu_85_-	-0.10326819	0.021873876	0.017865056	-0.0040088203
chr1:3631657:3632213:clu_85_-	0.103268184	0.9781261	0.982135	0.004008889
chr1:3632317:3633398:clu_86_-	-0.112626545	0.048407022	0.039025016	-0.009382006
chr1:3632338:3633398:clu_86_-	0.11262654	0.9515929	0.960975	0.009382069
chr1:3635074:3635160:clu_87_-	-0.042053804	0.46986118	0.45400152	-0.015859663
chr1:3635074:3635944:clu_87_-	0.020140229	0.045847207	0.047142338	0.0012951307
chr1:3635294:3635944:clu_87_-	0.02191357	0.48429164	0.49885616	0.014564514
chr1:3739335:3739836:clu_90_-	0.598723	0.022772932	0.040089425	0.017316492
chr1:3739371:3739516:clu_90_-	0.80985475	0.0026534696	0.0057692374	0.0031157678
chr1:3739371:3739696:clu_90_-	0.30387044	0.0076641804	0.010046707	0.0023825262
chr1:3739371:3739836:clu_90_-	-0.0010310097	0.22532897	0.21774992	-0.0075790435
chr1:3739407:3739516:clu_90_-	0.17660037	0.010086542	0.011642001	0.0015554586
