cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_123_-	Success	2.67529296875	3.0	0.1478534206096387	0.6898706653081703	LZIC
chr1:clu_124_-	Success	0.1568603515625	1.0	0.5754059375371134	0.922846334875044	LZIC
chr1:clu_125_-	Success	-0.0164794921875	1.0	1.0	1.0	DFFA
chr1:clu_126_-	Success	1.0146484375	2.0	0.3625298593351332	0.8135787330880752	DFFA
chr1:clu_127_-	Success	2.46875	4.0	0.2937707136409573	0.7587222068630347	SRM
chr1:clu_128_-	Success	-0.009033203125	1.0	1.0	1.0	SRM
chr1:clu_129_-	Success	0.059814453125	1.0	0.7294373195924493	0.9353120600410171	SRM
chr1:clu_12_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000290385
chr1:clu_130_-	Success	0.152587890625	1.0	0.5806557179071983	0.922846334875044	EXOSC10
chr1:clu_131_-	Success	1.40234375	2.0	0.24601967907732866	0.7587222068630347	EXOSC10
chr1:clu_132_-	Success	1.228515625	2.0	0.2927267716494664	0.7587222068630347	EXOSC10
chr1:clu_133_-	Success	1.1787109375	2.0	0.30767509550963795	0.7587222068630347	EXOSC10
chr1:clu_134_-	Success	0.241546630859375	1.0	0.4870245269764609	0.8779412303919095	EXOSC10
chr1:clu_135_-	Success	0.67529296875	3.0	0.7171574118416955	0.9353120600410171	MTOR
chr1:clu_136_-	Success	4.22027587890625	1.0	0.0036694489662982654	0.23301000935993985	MTOR
chr1:clu_137_-	Success	0.93402099609375	1.0	0.171699501129439	0.6980513799062437	MAD2L2
chr1:clu_138_-	Success	0.830078125	3.0	0.6458279931593536	0.9353120600410171	MAD2L2
chr1:clu_139_-	Success	1.49249267578125	1.0	0.08404004773179359	0.6072123262393693	MAD2L2
chr1:clu_13_-	Success	1.474853515625	6.0	0.8151321628263676	0.9629933458506854	ENSG00000291215,ENSG00000290385
chr1:clu_140_-	Success	0.0012664794921875	1.0	0.9598606043385126	1.0	MTHFR
chr1:clu_141_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MTHFR
chr1:clu_142_-	Success	0.530029296875	4.0	0.900556464017467	1.0	KIAA2013
chr1:clu_143_-	Success	3.8087158203125	2.0	0.022176639468863425	0.43773684318790756	KIAA2013
chr1:clu_144_-	Success	1.5244140625	2.0	0.2177486065676675	0.7535943701219993	CASP9
chr1:clu_145_-	Success	0.192352294921875	1.0	0.5350961117697531	0.906096082596782	ZBTB17
chr1:clu_146_-	Success	0.7421875	2.0	0.4760713695312372	0.8779412303919095	ZBTB17
chr1:clu_147_-	Success	0.60516357421875	1.0	0.2712673406613797	0.7587222068630347	ZBTB17
chr1:clu_148_-	Success	1.89300537109375	2.0	0.15061846356562708	0.6898706653081703	CPLANE2
chr1:clu_149_-	Success	3.12451171875	2.0	0.04395839244282146	0.47602635276599914	FBXO42
chr1:clu_14_-	Success	5.9658203125	12.0	0.4511852076875448	0.8779412303919095	ENSG00000291215
chr1:clu_150_-	Success	0.12548828125	2.0	0.8820661010785884	1.0	FBXO42
chr1:clu_151_-	Success	9.253173828125	3.0	0.000345784119525261	0.04391458317970815	FBXO42
chr1:clu_152_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_153_-	Success	0.574462890625	2.0	0.5630071840482573	0.922846334875044	CROCCP2
chr1:clu_154_-	Success	4.90185546875	5.0	0.08099194090620947	0.6050574408875649	ENSG00000283773,CROCCP2
chr1:clu_155_-	Success	0.52752685546875	1.0	0.30434603607819	0.7587222068630347	NBPF1
chr1:clu_156_-	Success	3.8675537109375	2.0	0.020909457488809496	0.43773684318790756	NBPF1
chr1:clu_157_-	Success	2.357177734375	4.0	0.31788135179989513	0.7587222068630347	CROCCP2
chr1:clu_158_-	Success	0.526702880859375	1.0	0.30472401122973874	0.7587222068630347	ATP13A2
chr1:clu_159_-	Success	-0.03387451171875	1.0	1.0	1.0	ATP13A2
chr1:clu_15_-	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_160_-	Success	1.885009765625	2.0	0.15182757673101185	0.6898706653081703	ATP13A2
chr1:clu_161_-	Success	-0.086181640625	1.0	1.0	1.0	SDHB
chr1:clu_162_-	Success	0.090087890625	1.0	0.6712222204300153	0.9353120600410171	SDHB
chr1:clu_163_-	Success	1.275390625	2.0	0.2793218368155613	0.7587222068630347	RCC2
chr1:clu_164_-	Success	0.491455078125	2.0	0.6117356231473314	0.9353120600410171	IFFO2
chr1:clu_165_-	Success	0.62091064453125	1.0	0.26512033551655445	0.7587222068630347	IFFO2
chr1:clu_166_-	Success	0.78448486328125	1.0	0.21035669747961316	0.7535943701219993	UBR4
chr1:clu_167_-	Success	0.1239013671875	2.0	0.8834669754180544	1.0	UBR4
chr1:clu_168_-	Success	0.4638671875	2.0	0.6288470676723521	0.9353120600410171	UBR4
chr1:clu_169_-	Success	1.435546875	2.0	0.23798518027535223	0.7587222068630347	UBR4
chr1:clu_16_-	Success	0.44073486328125	1.0	0.347799448968233	0.797454403779717	ENSG00000290385
chr1:clu_170_-	Success	1.5538330078125	2.0	0.21143598286287582	0.7535943701219993	UBR4
chr1:clu_171_-	Success	1.05810546875	3.0	0.5486401486765602	0.9144251128743238	UBR4
chr1:clu_172_-	Success	1.39959716796875	1.0	0.09431168645216755	0.6142350861243733	UBR4
chr1:clu_173_-	Success	0.41650390625	3.0	0.8415567902365676	0.9805294711930649	UBR4
chr1:clu_174_-	Success	0.0897216796875	1.0	0.6718520456883575	0.9353120600410171	UBR4
chr1:clu_175_-	Success	1.0120849609375	1.0	0.15481349575813272	0.6898706653081703	UBR4
chr1:clu_176_-	Success	0.74169921875	1.0	0.22324356130051143	0.7535943701219993	EMC1
chr1:clu_177_-	Success	1.431671142578125	1.0	0.0906190295345659	0.6072123262393693	EMC1
chr1:clu_178_-	Success	2.2568359375	2.0	0.1046811791033383	0.6250888428721884	EMC1
chr1:clu_179_-	Success	0.018768310546875	1.0	0.8463765728413974	0.9816422351676483	EMC1
chr1:clu_17_-	Success	0.2130126953125	2.0	0.8081458774869029	0.9592011816900624	ENSG00000228327,ENSG00000291215
chr1:clu_180_-	Success	0.5045166015625	1.0	0.3151345650579037	0.7587222068630347	EMC1
chr1:clu_181_-	Success	1.1484375	4.0	0.6813380686666055	0.9353120600410171	AKR7A2
chr1:clu_182_-	Success	0.0546875	2.0	0.9467809707821289	1.0	CAPZB
chr1:clu_183_-	Success	0.00146484375	1.0	0.9568343093418353	1.0	CAPZB
chr1:clu_184_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_185_-	Success	2.567291259765625	1.0	0.023453727071722406	0.43773684318790756	TMCO4
chr1:clu_186_-	Success	2.790771484375	8.0	0.6939899396184053	0.9353120600410171	TMCO4
chr1:clu_187_-	Success	1.83154296875	1.0	0.05563050631236623	0.4872465035634836	DDOST
chr1:clu_188_-	Success	0.1085205078125	2.0	0.8971604958290793	1.0	HP1BP3
chr1:clu_189_-	Success	0.43212890625	2.0	0.6491256949326003	0.9353120600410171	HP1BP3
chr1:clu_18_-	Success	1.489501953125	2.0	0.22548492964280292	0.7535943701219993	ENSG00000230092,ENSG00000291215,ENSG00000228327,ENSG00000290784
chr1:clu_190_-	Success	1.9873046875	2.0	0.13706435930709462	0.6898706653081703	HP1BP3
chr1:clu_191_-	Success	1.6044921875	6.0	0.7821969357699874	0.9371604796489472	HP1BP3
chr1:clu_192_-	Success	2.689453125	3.0	0.14606345358584638	0.6898706653081703	HP1BP3
chr1:clu_193_-	Success	3.27734375	2.0	0.037728339728103674	0.47602635276599914	EIF4G3
chr1:clu_194_-	Success	0.1387939453125	1.0	0.5982865745107862	0.9323119511289247	EIF4G3
chr1:clu_195_-	Success	-0.00054931640625	1.0	1.0	1.0	EIF4G3
chr1:clu_196_-	Success	0.04931640625	2.0	0.951879901295724	1.0	EIF4G3
chr1:clu_197_-	Success	1.753662109375	2.0	0.1731387280869817	0.6980513799062437	EIF4G3
chr1:clu_198_-	Success	0.35400390625	1.0	0.4001059642019549	0.8526803803038964	EIF4G3
chr1:clu_199_-	Success	3.4345703125	8.0	0.5508151270463446	0.9144251128743238	EIF4G3
chr1:clu_19_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_1_-	Success	0.133758544921875	1.0	0.60500221331692	0.9353120600410171	NA
chr1:clu_200_-	Success	0.52679443359375	1.0	0.3046819840129255	0.7587222068630347	EIF4G3
chr1:clu_201_-	Success	0.025390625	2.0	0.9749290059944998	1.0	ECE1
chr1:clu_202_-	Not enough valid samples	NA	NA	NA	NA	ECE1
chr1:clu_203_-	Success	3.3046875	2.0	0.03671068213222579	0.47602635276599914	USP48
chr1:clu_204_-	Success	0.0704345703125	1.0	0.7074184932455754	0.9353120600410171	USP48
chr1:clu_205_-	Success	-0.0035400390625	1.0	1.0	1.0	USP48
chr1:clu_206_-	Success	0.5029296875	1.0	0.3158968522240866	0.7587222068630347	USP48
chr1:clu_207_-	Success	0.71875	2.0	0.48736107671361906	0.8779412303919095	USP48
chr1:clu_208_-	Success	0.44970703125	2.0	0.6378149841110228	0.9353120600410171	USP48
chr1:clu_209_-	Success	2.569580078125	2.0	0.07656769112251871	0.6050574408875649	USP48
chr1:clu_20_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_210_-	Not enough valid samples	NA	NA	NA	NA	LUZP1
chr1:clu_211_-	Success	0.02099609375	1.0	0.8376346650821477	0.9804571655800254	HNRNPR
chr1:clu_212_-	Success	1.5703125	4.0	0.5345740522807239	0.906096082596782	HNRNPR
chr1:clu_213_-	Success	0.61328125	3.0	0.7466408293323066	0.9353120600410171	HNRNPR
chr1:clu_214_-	Success	0.044647216796875	1.0	0.7650760606354083	0.9353120600410171	E2F2
chr1:clu_215_-	Success	0.517913818359375	1.0	0.30879384260307496	0.7587222068630347	E2F2
chr1:clu_216_-	Success	0.05120849609375	2.0	0.9500805617948136	1.0	ELOA-AS1
chr1:clu_217_-	Success	0.6220703125	3.0	0.7424381821291686	0.9353120600410171	ELOA-AS1
chr1:clu_218_-	Success	1.9736328125	2.0	0.13895115472009714	0.6898706653081703	GALE
chr1:clu_219_-	Success	0.14447021484375	1.0	0.5909003291927923	0.9322278485401817	GALE
chr1:clu_21_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_220_-	Success	1.583953857421875	1.0	0.07509859503558243	0.6050574408875649	GALE
chr1:clu_221_-	Success	1.26806640625	2.0	0.2813751613700834	0.7587222068630347	GALE
chr1:clu_222_-	Success	0.7430419921875	1.0	0.22282504720944854	0.7535943701219993	GALE
chr1:clu_223_-	Success	1.28955078125	1.0	0.10828310663927673	0.6250888428721884	HMGCL
chr1:clu_224_-	Success	5.478515625	5.0	0.052238614524784774	0.4872465035634836	HMGCL
chr1:clu_225_-	Success	0.8748779296875	2.0	0.41691290926151037	0.8609421053042572	HMGCL
chr1:clu_226_-	Success	0.08538818359375	1.0	0.6794227453723778	0.9353120600410171	FUCA1
chr1:clu_227_-	Success	0.87774658203125	2.0	0.41571864485090126	0.8609421053042572	FUCA1
chr1:clu_228_-	Success	2.04632568359375	2.0	0.12920878642070588	0.6898706653081703	CNR2
chr1:clu_229_-	Success	3.0703125	6.0	0.40762311352211805	0.8556716597902313	SRSF10
chr1:clu_22_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_230_-	Success	0.4825439453125	2.0	0.6172112412774549	0.9353120600410171	NA
chr1:clu_231_-	Success	0.1251220703125	1.0	0.6169032229916407	0.9353120600410171	SRSF10
chr1:clu_232_-	Success	0.475341796875	2.0	0.621672534417866	0.9353120600410171	IFNLR1
chr1:clu_233_-	Success	0.859375	6.0	0.9436645739679008	1.0	RUNX3
chr1:clu_234_-	Success	0.16552734375	3.0	0.9540859323777747	1.0	RUNX3
chr1:clu_235_-	Success	0.953125	4.0	0.752996765965974	0.9353120600410171	RUNX3
chr1:clu_236_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_237_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_238_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RUNX3
chr1:clu_239_-	Success	0.3203125	2.0	0.7259221509524082	0.9353120600410171	SYF2
chr1:clu_23_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_240_-	Success	1.392578125	2.0	0.24843398441897474	0.7587222068630347	SYF2
chr1:clu_241_-	Success	0.0531005859375	1.0	0.744511204040268	0.9353120600410171	NA
chr1:clu_242_-	Success	3.5224609375	5.0	0.21732079357785708	0.7535943701219993	RSRP1
chr1:clu_243_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000259984
chr1:clu_244_-	Success	0.572021484375	2.0	0.5643833925646543	0.922846334875044	STMN1
chr1:clu_245_-	Success	6.1025390625	3.0	0.006712670678635474	0.2841697253955684	STMN1
chr1:clu_246_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PAFAH2
chr1:clu_247_-	Success	4.578125	13.0	0.7610429036457169	0.9353120600410171	UBXN11
chr1:clu_248_-	Success	1.14453125	3.0	0.5146194793768473	0.8983560287568199	GPN2
chr1:clu_249_-	Success	1.87322998046875	2.0	0.1536266485014465	0.6898706653081703	WASF2
chr1:clu_24_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000290784
chr1:clu_250_-	Not enough valid samples	NA	NA	NA	NA	AHDC1
chr1:clu_251_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AHDC1
chr1:clu_252_-	Success	3.1015625	2.0	0.04497886797788968	0.47602635276599914	FGR
chr1:clu_253_-	Success	0.213623046875	1.0	0.5133433512222076	0.8983560287568199	FGR
chr1:clu_254_-	Success	1.80078125	4.0	0.4626044758176793	0.8779412303919095	FGR
chr1:clu_255_-	Success	6.396484375	3.0	0.0051064003308676	0.2594051368080741	FGR
chr1:clu_256_-	Success	0.111572265625	1.0	0.6366543181988873	0.9353120600410171	FGR
chr1:clu_257_-	Success	2.68212890625	3.0	0.14698672381602668	0.6898706653081703	FGR
chr1:clu_258_-	Success	1.3017578125	2.0	0.2720531540436159	0.7587222068630347	IFI6
chr1:clu_259_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_25_-	Success	0.20703125	1.0	0.5199147095561123	0.8983560287568199	NOC2L
chr1:clu_260_-	Success	0.05230712890625	1.0	0.7463610756386814	0.9353120600410171	RPA2
chr1:clu_261_-	Success	0.513671875	2.0	0.5982946772992705	0.9323119511289247	RPA2
chr1:clu_262_-	Success	0.746337890625	1.0	0.22180176096920384	0.7535943701219993	RPA2
chr1:clu_263_-	Success	1.045166015625	2.0	0.3516334378871193	0.797454403779717	EYA3
chr1:clu_264_-	Success	0.005126953125	2.0	0.9948861672670513	1.0	EYA3
chr1:clu_265_-	Success	0.2373046875	2.0	0.7887509288536176	0.9405762250179289	EYA3
chr1:clu_266_-	Success	0.4224853515625	2.0	0.655415855074712	0.9353120600410171	EYA3
chr1:clu_267_-	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_268_-	Success	1.1063232421875	3.0	0.5294617057508428	0.906096082596782	PTAFR
chr1:clu_269_-	Success	6.77685546875	3.0	0.0035800853654509553	0.23301000935993985	DNAJC8
chr1:clu_26_-	Success	0.29937744140625	1.0	0.43905348941186484	0.8779412303919095	NOC2L
chr1:clu_270_-	Success	0.3203125	2.0	0.7259221509524082	0.9353120600410171	DNAJC8
chr1:clu_271_-	Success	0.74407958984375	2.0	0.4751714513595394	0.8779412303919095	NA
chr1:clu_272_-	Success	0.25634765625	2.0	0.7738728802762729	0.9371604796489472	SNHG12
chr1:clu_273_-	Success	5.3515625	6.0	0.09799661180033317	0.617760178655606	SNHG12
chr1:clu_274_-	Success	2.97802734375	2.0	0.05089312955801626	0.4872465035634836	TAF12
chr1:clu_275_-	Success	0.046875	2.0	0.9542066659691884	1.0	SRSF4
chr1:clu_276_-	Success	0.134765625	4.0	0.9916951839222551	1.0	SRSF4
chr1:clu_277_-	Success	0.049560546875	1.0	0.7528869159890845	0.9353120600410171	MECR
chr1:clu_278_-	Success	0.9393310546875	1.0	0.17048628566704713	0.6980513799062437	MECR
chr1:clu_279_-	Success	4.155517578125	2.0	0.015677674607907286	0.43773684318790756	MECR
chr1:clu_27_-	Success	0.2489013671875	1.0	0.4804671759016651	0.8779412303919095	NOC2L
chr1:clu_280_-	Success	0.81103515625	2.0	0.44439780687659625	0.8779412303919095	MECR
chr1:clu_281_-	Success	0.549072265625	5.0	0.9542677808291391	1.0	MECR
chr1:clu_282_-	Success	4.4375	7.0	0.2617556058178233	0.7587222068630347	LAPTM5
chr1:clu_283_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_284_-	Success	0.002166748046875	1.0	0.9475137326960259	1.0	PUM1
chr1:clu_285_-	Success	2.865234375	6.0	0.45405017238108625	0.8779412303919095	PUM1
chr1:clu_286_-	Success	0.138671875	2.0	0.870513618882206	1.0	PUM1
chr1:clu_287_-	Success	1.226318359375	1.0	0.11732763623736658	0.6622493245398026	PUM1
chr1:clu_288_-	Success	1.6962890625	4.0	0.49439887112261904	0.8843472765151074	PUM1
chr1:clu_289_-	Success	0.2724609375	2.0	0.7615031748119981	0.9353120600410171	PUM1
chr1:clu_28_-	Success	3.7449951171875	2.0	0.02363574445630516	0.43773684318790756	NOC2L
chr1:clu_29_-	Success	0.74365234375	2.0	0.47537450988088525	0.8779412303919095	NOC2L
chr1:clu_2_-	Not enough valid samples	NA	NA	NA	NA	WASH7P
chr1:clu_30_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	C1orf159
chr1:clu_31_-	Success	0.5518798828125	1.0	0.2934424710502142	0.7587222068630347	SDF4
chr1:clu_32_-	Success	0.62109375	1.0	0.26504988535620894	0.7587222068630347	SDF4
chr1:clu_33_-	Success	0.34991455078125	1.0	0.4028411245530219	0.8526803803038964	SDF4
chr1:clu_34_-	Success	2.435546875	2.0	0.08754985512678154	0.6072123262393693	UBE2J2
chr1:clu_35_-	Success	3.85009765625	2.0	0.021277658440582003	0.43773684318790756	UBE2J2
chr1:clu_36_-	Success	3.75927734375	8.0	0.48185154824380316	0.8779412303919095	UBE2J2
chr1:clu_37_-	Success	1.30224609375	1.0	0.10656128601626129	0.6250888428721884	ACAP3
chr1:clu_38_-	Success	0.0003662109375	1.0	0.9784092512796515	1.0	ACAP3
chr1:clu_39_-	Success	0.27734375	2.0	0.7577939606593946	0.9353120600410171	INTS11
chr1:clu_3_-	Success	4.07421875	3.0	0.043041523540456934	0.47602635276599914	WASH9P
chr1:clu_40_-	Success	0.15521240234375	1.0	0.5774196251570836	0.922846334875044	INTS11
chr1:clu_41_-	Success	1.67578125	4.0	0.5008043083903713	0.8895405197982819	INTS11
chr1:clu_42_-	Success	0.1533203125	3.0	0.9587747581073129	1.0	INTS11
chr1:clu_43_-	Success	0.0679931640625	1.0	0.7123042057961173	0.9353120600410171	DVL1
chr1:clu_44_-	Success	3.1781005859375	2.0	0.04166471856264463	0.47602635276599914	AURKAIP1
chr1:clu_45_-	Success	0.01654052734375	1.0	0.8556753464086984	0.9879160817627699	AURKAIP1
chr1:clu_46_-	Success	3.128173828125	4.0	0.1808045453181746	0.7175680392315055	CCNL2
chr1:clu_47_-	Success	1.890625	5.0	0.5813205259055395	0.922846334875044	CCNL2
chr1:clu_48_-	Success	3.9951171875	6.0	0.2388196339102909	0.7587222068630347	MRPL20
chr1:clu_49_-	Success	0.91650390625	2.0	0.39991473933767924	0.8526803803038964	MRPL20
chr1:clu_4_-	Success	2.51397705078125	2.0	0.08094567318249221	0.6050574408875649	WASH9P
chr1:clu_50_-	Success	1.2252197265625	2.0	0.2936931610445894	0.7587222068630347	CDK11B
chr1:clu_51_-	Success	-0.0013427734375	1.0	1.0	1.0	CDK11B
chr1:clu_52_-	Success	1.2724609375	3.0	0.46722736799576825	0.8779412303919095	CDK11B
chr1:clu_53_-	Success	0.25244140625	1.0	0.4773624778129135	0.8779412303919095	CDK11B
chr1:clu_54_-	Success	0.63623046875	1.0	0.2593055169206122	0.7587222068630347	CDK11A,ENSG00000268575
chr1:clu_55_-	Success	1.83795166015625	1.0	0.05520433229094761	0.4872465035634836	CDK11A,ENSG00000268575
chr1:clu_56_-	Success	0.00439453125	1.0	0.9253077508893466	1.0	CDK11A,ENSG00000268575
chr1:clu_57_-	Success	0.546875	3.0	0.7785830688131612	0.9371604796489472	CDK11A,ENSG00000268575
chr1:clu_58_-	Success	0.705322265625	1.0	0.2349494268633821	0.7587222068630347	CDK11A,ENSG00000268575
chr1:clu_59_-	Success	3.7578125	2.0	0.02333472930577775	0.43773684318790756	GNB1
chr1:clu_5_-	Success	0.36883544921875	1.0	0.3904079953868368	0.8475524002415089	WASH9P
chr1:clu_60_-	Success	6.6015625	6.0	0.03992134311808698	0.47602635276599914	GNB1
chr1:clu_61_-	Success	1.1416015625	2.0	0.31930722161357966	0.7587222068630347	CDK11A,CDK11B,ENSG00000268575
chr1:clu_62_-	Success	0.76025390625	1.0	0.21754266225273913	0.7535943701219993	CDK11A,ENSG00000268575
chr1:clu_63_-	Success	11.82275390625	4.0	9.406423438500344e-05	0.023892315533790873	CDK11A,CDK11B,ENSG00000268575
chr1:clu_64_-	Success	0.0703125	2.0	0.9321024923595276	1.0	CDK11B
chr1:clu_65_-	Success	4.013671875	11.0	0.7108523363923753	0.9353120600410171	CDK11A,SLC35E2A,ENSG00000268575,ENSG00000290854,CDK11B
chr1:clu_66_-	Success	1.4296875	1.0	0.090842788964945	0.6072123262393693	SLC35E2B
chr1:clu_67_-	Success	0.42724609375	2.0	0.6523030047812661	0.9353120600410171	CDK11A,ENSG00000268575
chr1:clu_68_-	Success	4.541015625	8.0	0.33542325986373916	0.7888658148647198	SLC35E2B,SLC35E2A,ENSG00000268575,ENSG00000290854
chr1:clu_69_-	Success	0.2974853515625	2.0	0.7426834622933811	0.9353120600410171	SLC35E2B
chr1:clu_6_-	Success	3.259765625	5.0	0.2588939340941592	0.7587222068630347	WASH7P
chr1:clu_70_-	Success	3.7109375	6.0	0.2835867806926317	0.7587222068630347	NADK
chr1:clu_71_-	Success	1.0771484375	2.0	0.34056528551935594	0.7936108488249212	NADK
chr1:clu_72_-	Success	1.390869140625	3.0	0.4265149506294298	0.8736677214506061	NADK
chr1:clu_73_-	Success	0.0677490234375	1.0	0.7127982284254544	0.9353120600410171	NADK
chr1:clu_74_-	Success	1.74853515625	4.0	0.47832394972654335	0.8779412303919095	NADK
chr1:clu_75_-	Success	0.158203125	1.0	0.5737754036327304	0.922846334875044	GNB1
chr1:clu_76_-	Success	2.109375	4.0	0.3772099844606051	0.8289039681467166	FAAP20
chr1:clu_77_-	Success	0.0018310546875	1.0	0.9517451789484365	1.0	FAAP20
chr1:clu_78_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MORN1
chr1:clu_79_-	Success	2.0706787109375	2.0	0.12610016709191224	0.6898706653081703	PEX10
chr1:clu_7_-	Success	21.5390625	27.0	0.025687823588617917	0.43773684318790756	WASH7P,WASH9P
chr1:clu_80_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PEX10
chr1:clu_81_-	Success	0.2572021484375	1.0	0.4732384601003846	0.8779412303919095	PANK4
chr1:clu_82_-	Success	0.84503173828125	1.0	0.1935926017755376	0.7349560907016317	PANK4
chr1:clu_83_-	Success	0.35772705078125	2.0	0.6992639124994854	0.9353120600410171	TNFRSF14-AS1
chr1:clu_84_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TNFRSF14-AS1
chr1:clu_85_-	Success	0.1844482421875	1.0	0.5436063939440446	0.9144107553760751	WRAP73
chr1:clu_86_-	Success	0.28656005859375	1.0	0.4490217219737016	0.8779412303919095	WRAP73
chr1:clu_87_-	Success	0.65478515625	2.0	0.5195536734567017	0.8983560287568199	WRAP73
chr1:clu_88_-	Not enough valid samples	NA	NA	NA	NA	TP73-AS1
chr1:clu_89_-	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_8_-	Success	3.0546875	4.0	0.19112762492479643	0.7349560907016317	WASH9P
chr1:clu_90_-	Success	7.7607421875	19.0	0.6889272004608307	0.9353120600410171	NA
chr1:clu_91_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_92_-	Success	0.42529296875	2.0	0.6535782790671256	0.9353120600410171	TP73-AS1
chr1:clu_93_-	Success	0.2869873046875	2.0	0.750521256878481	0.9353120600410171	TP73-AS1
chr1:clu_94_-	Success	0.843994140625	1.0	0.19386637038192647	0.7349560907016317	LRRC47
chr1:clu_95_-	Success	0.093505859375	2.0	0.9107326810862622	1.0	CEP104
chr1:clu_96_-	Success	0.02435302734375	1.0	0.8253303277277533	0.970527329828006	CEP104
chr1:clu_97_-	Success	0.4383544921875	1.0	0.3491046491459969	0.797454403779717	CEP104
chr1:clu_98_-	Success	0.2464599609375	2.0	0.78156265394649	0.9371604796489472	C1orf174
chr1:clu_99_-	Success	0.9874267578125	1.0	0.1599336296986854	0.6980513799062437	C1orf174
